label,score 2,f16,score 1,score 3,f18,f21,f23,f22,f9,f17,f24,f5
0.0,-0.08634867,1184.6077258384205,-0.038724624,-0.049766958,1602.7744019365548,2.375872059718465,0.8934975262189219,0.6085980363010923,1.264866107118299,2814.476397546135,53.051638971346925,-14.658927603038087
0.0,-0.08634867,1163.1742121518746,-0.038724624,-0.049766958,1555.2099628988205,2.284012635001072,0.9185631784422256,0.6081908644600044,1.242176648134618,2656.7045972622986,51.54323037278803,-13.412725861534483
0.0,-0.08634867,1100.5133545272834,-0.038724624,-0.049766958,1507.9191603722907,2.501126184125942,0.9095881701670768,0.6303038337312261,1.231359090698576,2752.522766988464,52.464490533964614,-12.025674863858088
0.0,-0.08634867,1153.4563105601508,-0.038724624,-0.049766958,1564.8762116952441,2.479872299851895,0.9019311403574541,0.6364554228715431,1.267556437043908,2860.424353647483,53.48293516297963,-14.112665063946855
0.0,-0.08634867,1227.9312954646218,-0.038724624,-0.049766958,1672.9644559239105,2.422554077574038,0.8949707382488953,0.6300048633227492,1.2575436337459822,2974.7299668085907,54.541085126797675,-14.258928552645322
0.0,-0.08634867,1142.6434630689455,-0.038724624,-0.049766958,1560.1923593662714,2.4931635264587677,0.9038153368898606,0.6376400479702675,1.2257457517265686,2848.7970058700307,53.374122998603276,-12.304451922389168
0.0,-0.08634867,1108.244271478753,-0.038724624,-0.049766958,1534.1747271529266,2.5174436586530096,0.8736189371019971,0.6143863951540476,1.2506767859279218,2789.942513472711,52.81990641294919,-13.665761338219285
0.0,-0.08634867,1154.8299237775086,-0.038724624,-0.049766958,1515.5564229113627,2.1497285347185917,0.9551738634382256,0.6048391645978569,1.2548547796729166,2482.5708398914057,49.82540355974456,-13.095141096905706
0.0,-0.08634867,1131.6976751487655,-0.038724624,-0.049766958,1535.1302569805966,2.3869834404984416,0.9026306688613416,0.6136179656066918,1.2472004909161336,2701.343610230689,51.9744515144767,-13.272991152189553
0.0,-0.08634867,1216.3957540491858,-0.038724624,-0.049766958,1675.0520177725302,2.5229842328227745,0.8931698798184952,0.6555247827682021,1.239168845063675,3068.947308338665,55.39808036691041,-13.367784371767087
