label,score 0,score 7,score 4,score 6,score 3,score 1,score 5,f16,score 9,f18
0.0,1.0,0.0,0.0,0.0,0.0,1.0142485e-24,0.0,1184.6077258384205,0.0,1602.7744019365548
0.0,1.0,0.0,0.0,0.0,0.0,1.1919068e-26,0.0,1060.6604813272354,2.1399999999999997e-43,1488.5134212993396
0.0,1.0,0.0,0.0,0.0,0.0,8.363187e-09,0.0,1215.7088807545877,1.4706927e-32,1650.4807037480966
0.0,1.0,0.0,0.0,0.0,0.0,1.24929535e-23,0.0,1225.6863452990012,2.8393000000000003e-41,1674.9069575543936
0.0,1.0,0.0,0.0,0.0,0.0,3.1418994e-25,0.0,1137.7910096376293,0.0,1518.9589007931245
0.0,1.0,0.0,0.0,0.0,4.3299999999999996e-43,7.265658e-21,0.0,1122.5930158985134,3.18934e-40,1546.2171950773925
0.0,1.0,0.0,0.0,0.0,1e-45,1.4587274999999998e-28,0.0,1146.1840764433375,0.0,1531.2760962346076
0.0,1.0,0.0,0.0,0.0,8.004361e-30,5.7587375e-09,6.0963709999999996e-37,1174.4964115940786,1.2682253e-28,1572.2783943026998
0.0,1.0,0.0,0.0,0.0,1.6785661999999994e-31,7.583416999999998e-13,0.0,1126.940609171098,1.58853e-40,1526.987789414386
0.0,1.0,0.0,0.0,0.0,0.0,1.0536165000000001e-12,0.0,1171.8706785781167,1.4400000000000002e-43,1590.3260934202594
0.0,1.0,0.0,0.0,0.0,6.982623999999998e-29,8.655463e-17,0.0,1175.373926548878,4e-45,1615.4609881749775
0.0,1.0,0.0,0.0,0.0,1.3999999999999998e-44,2.3475882e-25,0.0,1265.3571703514094,0.0,1714.0099430090027
0.0,1.0,0.0,0.0,0.0,4.4811999999999995e-41,5.367766e-16,0.0,1124.0445366462448,2.3383974999999998e-27,1519.6263152340664
0.0,1.0,0.0,0.0,0.0,0.0,1.9503420999999998e-34,0.0,1140.5681363837355,0.0,1555.7556264675534
0.0,1.0,0.0,0.0,0.0,0.0,4.1987034e-16,0.0,1118.6381660349286,3.3047740000000004e-33,1550.9791070713468
0.0,1.0,0.0,0.0,0.0,0.0,2.4739293999999995e-22,0.0,1194.3229642312074,0.0,1602.7119917517996
0.0,1.0,0.0,0.0,0.0,0.0,9.989777e-17,0.0,1212.6689663298794,0.0,1632.8048362361415
0.0,1.0,0.0,0.0,0.0,5.6420000000000005e-42,8.454434699999998e-19,0.0,1067.9195952110972,0.0,1457.5296612057025
0.0,1.0,0.0,0.0,0.0,0.0,1.03450665e-29,0.0,1129.9195475951378,1e-45,1537.299730707951
0.0,1.0,0.0,0.0,0.0,0.0,1.1257573600000001e-26,0.0,1233.7304087795487,0.0,1625.1031488566416
0.0,1.0,0.0,0.0,0.0,0.0,3.155916e-26,0.0,1260.5124150639626,1.6230297999999999e-38,1735.9089407628376
0.0,1.0,0.0,0.0,0.0,0.0,2.4650173e-30,0.0,1248.85416650697,0.0,1734.078639263671
0.0,1.0,0.0,0.0,0.0,0.0,1.803186e-20,0.0,1142.4305426583278,6.9887386e-33,1550.6015909124899
0.0,1.0,0.0,0.0,1.895e-42,1.0555313999999999e-27,3.5008006999999996e-13,0.0,1184.0377786112074,1.0734962e-19,1571.6050141186324
0.0,1.0,0.0,0.0,0.0,0.0,1.8972138999999997e-34,0.0,1136.2762201215974,0.0,1530.3560645449509
0.0,1.0,0.0,0.0,0.0,0.0,6.907461499999998e-22,0.0,1087.8181703226753,0.0,1479.588466487937
0.0,1.0,0.0,0.0,0.0,0.0,1.0595573e-20,0.0,1153.929031407836,1.0808e-41,1570.9909071859342
0.0,1.0,0.0,0.0,0.0,0.0,2.0743342e-24,0.0,1213.2727106772127,0.0,1653.8246485131165
0.0,1.0,0.0,0.0,0.0,0.0,2.4525099999999997e-26,0.0,1313.338471857563,0.0,1814.1561380798687
0.0,1.0,0.0,0.0,0.0,0.0,4.4832669999999995e-28,0.0,1160.0521494603834,0.0,1618.116819143743
0.0,1.0,0.0,0.0,0.0,1.6799999999999996e-43,8.165443e-22,0.0,1201.758267845212,4.5367079999999994e-33,1607.1946165212728
0.0,1.0,0.0,0.0,0.0,6.3e-44,8.405005499999999e-20,0.0,1143.5395705899346,1.11e-43,1545.3371698412411
0.0,1.0,0.0,0.0,0.0,0.0,6.841278699999999e-28,0.0,1195.1017210571308,1.3000000000000002e-44,1625.2347900572513
