label,score 0,score 7,score 4,score 6,score 3,score 1,score 5,f16,score 9,f18,f22,score 8,f21,score 2,f23,f9
0.0,1.0,0.0,0.0,0.0,0.0,1.0142485e-24,0.0,1184.6077258384205,0.0,1602.7744019365548,0.6085980363010923,3.0180922999999997e-24,2.375872059718465,0.0,0.8934975262189219,1.264866107118299
0.0,1.0,0.0,0.0,0.0,0.0,1.1919068e-26,0.0,1060.6604813272354,2.1399999999999997e-43,1488.5134212993396,0.6353702880709259,6.1732318e-27,2.5704666611240037,0.0,0.9159641987431262,1.2283817685294072
0.0,1.0,0.0,0.0,0.0,0.0,8.363187e-09,0.0,1215.7088807545877,1.4706927e-32,1650.4807037480966,0.6411493909231352,3.5056464999999997e-16,2.456229098441836,0.0,0.8987764442646565,1.2518199007774735
0.0,1.0,0.0,0.0,0.0,0.0,1.24929535e-23,0.0,1225.6863452990012,2.8393000000000003e-41,1674.9069575543936,0.6225223172432716,1.06799456e-26,2.493075434406139,0.0,0.8560884301654449,1.2490507674735862
0.0,1.0,0.0,0.0,0.0,0.0,3.1418994e-25,0.0,1137.7910096376293,0.0,1518.9589007931245,0.5877417049383195,2.2077948999999998e-26,2.3543143929024226,0.0,0.8571979724491179,1.242088449754102
0.0,1.0,0.0,0.0,0.0,4.3299999999999996e-43,7.265658e-21,0.0,1122.5930158985134,3.18934e-40,1546.2171950773925,0.6428809622385556,1.2934993e-22,2.495261167162833,0.0,0.929512240820654,1.2473296498882391
0.0,1.0,0.0,0.0,0.0,1e-45,1.4587274999999998e-28,0.0,1146.1840764433375,0.0,1531.2760962346076,0.6129633104078165,1.0088342e-25,2.372129663159096,0.0,0.8892060216045343,1.269125886570451
0.0,1.0,0.0,0.0,0.0,8.004361e-30,5.7587375e-09,6.0963709999999996e-37,1174.4964115940786,1.2682253e-28,1572.2783943026998,0.5976739361180453,9.91417e-10,2.2713162743163013,1.1137644e-31,0.8974482743890164,1.2290882216489152
0.0,1.0,0.0,0.0,0.0,1.6785661999999994e-31,7.583416999999998e-13,0.0,1126.940609171098,1.58853e-40,1526.987789414386,0.6010936069427864,3.771782e-14,2.4139784469601966,1.8016106e-36,0.8773880795316785,1.2394886876502855
0.0,1.0,0.0,0.0,0.0,0.0,1.0536165000000001e-12,0.0,1171.8706785781167,1.4400000000000002e-43,1590.3260934202594,0.6419067521916904,2.8486480000000002e-15,2.4195215497482567,5.619999999999999e-43,0.9395338537466212,1.240089465957562
