label,score 0,score 7,score 4,score 6,score 3,score 1
0.0,1.0,0.0,0.0,0.0,0.0,1.0142485e-24
0.0,1.0,0.0,0.0,0.0,0.0,1.1919068e-26
0.0,1.0,0.0,0.0,0.0,0.0,8.363187e-09
0.0,1.0,0.0,0.0,0.0,0.0,1.24929535e-23
0.0,1.0,0.0,0.0,0.0,0.0,3.1418994e-25
0.0,1.0,0.0,0.0,0.0,4.3299999999999996e-43,7.265658e-21
0.0,1.0,0.0,0.0,0.0,1e-45,1.4587274999999998e-28
0.0,1.0,0.0,0.0,0.0,8.004361e-30,5.7587375e-09
0.0,1.0,0.0,0.0,0.0,1.6785661999999994e-31,7.583416999999998e-13
0.0,1.0,0.0,0.0,0.0,0.0,1.0536165000000001e-12
0.0,1.0,0.0,0.0,0.0,6.982623999999998e-29,8.655463e-17
0.0,1.0,0.0,0.0,0.0,1.3999999999999998e-44,2.3475882e-25
0.0,1.0,0.0,0.0,0.0,4.4811999999999995e-41,5.367766e-16
0.0,1.0,0.0,0.0,0.0,0.0,1.9503420999999998e-34
0.0,1.0,0.0,0.0,0.0,0.0,4.1987034e-16
0.0,1.0,0.0,0.0,0.0,0.0,2.4739293999999995e-22
0.0,1.0,0.0,0.0,0.0,0.0,9.989777e-17
0.0,1.0,0.0,0.0,0.0,5.6420000000000005e-42,8.454434699999998e-19
0.0,1.0,0.0,0.0,0.0,0.0,1.03450665e-29
0.0,1.0,0.0,0.0,0.0,0.0,1.1257573600000001e-26
0.0,1.0,0.0,0.0,0.0,0.0,3.155916e-26
0.0,1.0,0.0,0.0,0.0,0.0,2.4650173e-30
0.0,1.0,0.0,0.0,0.0,0.0,1.803186e-20
0.0,1.0,0.0,0.0,1.895e-42,1.0555313999999999e-27,3.5008006999999996e-13
0.0,1.0,0.0,0.0,0.0,0.0,1.8972138999999997e-34
0.0,1.0,0.0,0.0,0.0,0.0,6.907461499999998e-22
0.0,1.0,0.0,0.0,0.0,0.0,1.0595573e-20
0.0,1.0,0.0,0.0,0.0,0.0,2.0743342e-24
0.0,1.0,0.0,0.0,0.0,0.0,2.4525099999999997e-26
0.0,1.0,0.0,0.0,0.0,0.0,4.4832669999999995e-28
0.0,1.0,0.0,0.0,0.0,1.6799999999999996e-43,8.165443e-22
0.0,1.0,0.0,0.0,0.0,6.3e-44,8.405005499999999e-20
0.0,1.0,0.0,0.0,0.0,0.0,6.841278699999999e-28
0.0,1.0,4.5802759999999985e-37,2.51e-43,5.714899999999998e-41,4.8786802e-27,1.4971212999999999e-25
0.0,1.0,0.0,0.0,0.0,0.0,1.9127734e-33
0.0,1.0,0.0,0.0,0.0,0.0,2.9306763e-23
0.0,1.0,0.0,0.0,0.0,1.607544e-39,1.8908702999999998e-19
0.0,1.0,0.0,0.0,0.0,0.0,5.454532e-20
0.0,1.0,0.0,0.0,0.0,0.0,1.0881455e-18
0.0,1.0,0.0,0.0,0.0,1e-45,9.7808214e-20
0.0,1.0,0.0,0.0,0.0,0.0,1.3029314e-25
0.0,1.0,0.0,0.0,0.0,4e-45,4.8969830000000004e-15
0.0,1.0,0.0,0.0,0.0,4.089999999999999e-43,3.344042200000001e-22
0.0,1.0,0.0,0.0,0.0,0.0,2.7456664e-25
0.0,1.0,0.0,0.0,0.0,0.0,7.674554e-23
0.0,1.0,0.0,0.0,0.0,0.0,3.6549598e-23
0.0,1.0,0.0,0.0,0.0,0.0,1.3055142e-24
0.0,1.0,0.0,0.0,0.0,0.0,1.4756617000000002e-23
0.0,1.0,0.0,0.0,0.0,1.5682939999999998e-39,1.5924788e-19
0.0,1.0,0.0,0.0,0.0,0.0,1.5950428999999996e-21
0.0,1.0,0.0,0.0,0.0,0.0,1.4278552e-17
0.0,1.0,0.0,0.0,0.0,2.3056e-41,1.7061773999999999e-16
0.0,1.0,0.0,0.0,0.0,0.0,3.4385983e-33
0.0,1.0,0.0,0.0,0.0,0.0,1.5571604999999995e-14
0.0,1.0,0.0,0.0,0.0,0.0,1.167151e-19
0.0,1.0,0.0,0.0,0.0,0.0,4.1705014e-29
0.0,1.0,0.0,0.0,0.0,2.0365539999999997e-35,1.9013462e-09
0.0,1.0,0.0,0.0,0.0,0.0,3.487534e-23
0.0,1.0,0.0,0.0,0.0,6.6086246e-35,5.2649545e-21
0.0,1.0,0.0,0.0,0.0,0.0,1.7060296e-14
0.0,1.0,0.0,0.0,0.0,0.0,1.1771094e-25
0.0,1.0,0.0,0.0,0.0,1.8999999999999998e-42,3.088560600000001e-14
0.0,1.0,0.0,0.0,0.0,0.0,1.1664168e-26
0.0,1.0,0.0,0.0,0.0,6.333560999999999e-39,1.953009e-10
0.0,1.0,0.0,0.0,0.0,7.75e-43,1.20409e-19
0.0,1.0,0.0,0.0,0.0,0.0,4.243130599999998e-22
0.0,1.0,0.0,0.0,0.0,2.1999999999999999e-44,3.0760743000000003e-21
0.0,1.0,0.0,0.0,0.0,0.0,9.536343999999999e-18
0.0,1.0,0.0,0.0,0.0,1.44e-42,7.217225999999998e-23
0.0,1.0,0.0,0.0,0.0,0.0,6.174938500000001e-16
0.0,1.0,0.0,0.0,0.0,0.0,1.0161104e-18
0.0,1.0,0.0,0.0,0.0,0.0,7.730898e-34
0.0,1.0,0.0,0.0,0.0,0.0,2.3199405e-22
0.0,1.0,0.0,0.0,0.0,0.0,1.1779949e-24
0.0,1.0,0.0,0.0,0.0,0.0,3.266595e-19
