label,score 0,score 7,score 4,score 6,score 3,score 1,score 5,f16,score 9,f18,f22,score 8,f21,score 2,f23,f9,f17,f24,f5,f8,f10,f19,f7,f20
0.0,1.0,0.0,0.0,0.0,0.0,1.0142485e-24,0.0,1184.6077258384205,0.0,1602.7744019365548,0.6085980363010923,3.0180922999999997e-24,2.375872059718465,0.0,0.8934975262189219,1.264866107118299,2814.476397546135,53.05163897134693,-14.658927603038087,4.906396163226487,4.1088111030073495,3388.3554372210588,3.2484158440835387,0.0002951284239590118
0.0,1.0,0.0,0.0,0.0,0.0,1.1919068e-26,0.0,1060.6604813272354,2.1399999999999997e-43,1488.5134212993396,0.6353702880709259,6.1732318e-27,2.5704666611240037,0.0,0.9159641987431262,1.2283817685294072,2726.3924060233976,52.21486767218124,-11.708271970061386,4.331873527869196,3.6918873335388462,3295.940481486999,3.0054885444601607,0.00030340353705320534
0.0,1.0,0.0,0.0,0.0,0.0,8.363187e-09,0.0,1215.7088807545877,1.4706927e-32,1650.4807037480966,0.6411493909231352,3.5056464999999997e-16,2.456229098441836,0.0,0.8987764442646565,1.2518199007774735,2986.059528143573,54.64484905408353,-14.157169904499485,5.379834033421101,4.544069503627969,3575.3691995390263,3.6299706537703726,0.00027969139526316057
0.0,1.0,0.0,0.0,0.0,0.0,1.24929535e-23,0.0,1225.6863452990012,2.8393000000000003e-41,1674.9069575543936,0.6225223172432716,1.06799456e-26,2.493075434406139,0.0,0.8560884301654449,1.2490507674735862,3055.728517751981,55.27864431904947,-12.167601106644375,4.697473855575777,4.000598813802668,3610.541209333721,3.202911297108081,0.0002769667875317056
0.0,1.0,0.0,0.0,0.0,0.0,3.1418994e-25,0.0,1137.7910096376293,0.0,1518.9589007931245,0.5877417049383195,2.2077948999999998e-26,2.3543143929024226,0.0,0.8571979724491179,1.242088449754102,2678.717750104849,51.75633053168328,-12.501073824340553,4.718593875046778,4.006998415932848,3159.13831668175,3.2260169690219067,0.00031654201233276974
0.0,1.0,0.0,0.0,0.0,4.3299999999999996e-43,7.265658e-21,0.0,1122.5930158985134,3.18934e-40,1546.2171950773925,0.6428809622385556,1.2934993e-22,2.495261167162833,0.0,0.929512240820654,1.2473296498882391,2801.162759099769,52.92601212163797,-12.699213800768938,4.540325166327093,3.851700036716962,3393.051657497036,3.0879567699381436,0.000294719945624899
0.0,1.0,0.0,0.0,0.0,1e-45,1.4587274999999998e-28,0.0,1146.1840764433375,0.0,1531.2760962346076,0.6129633104078165,1.0088342e-25,2.372129663159096,0.0,0.8892060216045343,1.269125886570451,2718.8972471718544,52.143046009720756,-13.96666547630806,4.828356977493455,4.043982423183852,3233.0309046639045,3.1864312799669343,0.0003093072814606939
0.0,1.0,0.0,0.0,0.0,8.004361e-30,5.7587375e-09,6.0963709999999996e-37,1174.4964115940786,1.2682253e-28,1572.2783943026998,0.5976739361180453,9.91417e-10,2.2713162743163013,1.1137644e-31,0.8974482743890164,1.2290882216489152,2667.652813779728,51.64932539520461,-11.969538681524966,4.923397683770816,4.232937429126674,3249.8244262565504,3.4439654978125724,0.00030770893095658484
0.0,1.0,0.0,0.0,0.0,1.6785661999999994e-31,7.583416999999998e-13,0.0,1126.940609171098,1.58853e-40,1526.987789414386,0.6010936069427864,3.771782e-14,2.4139784469601966,1.8016106e-36,0.8773880795316785,1.2394886876502855,2720.410341543225,52.1575530632259,-11.771441972911065,4.840340759745911,4.140659958350656,3236.398922516689,3.3406194018601,0.00030898539516951144
0.0,1.0,0.0,0.0,0.0,0.0,1.0536165000000001e-12,0.0,1171.8706785781167,1.4400000000000002e-43,1590.3260934202594,0.6419067521916904,2.8486480000000002e-15,2.4195215497482567,5.619999999999999e-43,0.9395338537466212,1.240089465957562,2835.366360337867,53.248158281182526,-13.009570713998803,4.413838862538799,3.7536761515736514,3444.1633093591554,3.0269397931504636,0.00029034627866878567
0.0,1.0,0.0,0.0,0.0,6.982623999999998e-29,8.655463e-17,0.0,1175.373926548878,4e-45,1615.4609881749775,0.6220978988117299,3.0859327e-15,2.397388455916152,2.17e-43,0.90973808803674,1.2346057162641253,2817.827882893119,53.083216583898896,-11.85994310572362,4.525346232821914,3.857953625699215,3451.187517852163,3.124846722217722,0.0002897553363377796
0.0,1.0,0.0,0.0,0.0,1.3999999999999998e-44,2.3475882e-25,0.0,1265.3571703514094,0.0,1714.0099430090027,0.6096552282417586,3.5200302999999996e-28,2.35750400812694,0.0,0.8590390568918463,1.2338773806396848,2983.084600815611,54.61762170596237,-11.268716450993884,4.241313070061406,3.6246906225319777,3593.059278791759,2.9376424913898767,0.0002783143617759267
0.0,1.0,0.0,0.0,0.0,4.4811999999999995e-41,5.367766e-16,0.0,1124.0445366462448,2.3383974999999998e-27,1519.6263152340664,0.6039682979086759,6.542358e-19,2.390275769094859,1.0856402e-35,0.8760418921460679,1.238508499977241,2686.776419328977,51.83412408181484,-11.938659073142604,4.536204912504822,3.8638187064937255,3208.1851712149237,3.1197353159584504,0.00031170270624413643
0.0,1.0,0.0,0.0,0.0,0.0,1.9503420999999998e-34,0.0,1140.5681363837355,0.0,1555.7556264675534,0.6035103088066598,4.1088163999999985e-31,2.471774503444266,0.0,0.8671997705107768,1.2491688254254427,2819.227238954261,53.09639572470302,-12.317148772656612,4.958487935015814,4.206747664892218,3329.8074988890694,3.3676374075853848,0.0003003176611061247
0.0,1.0,0.0,0.0,0.0,0.0,4.1987034e-16,0.0,1118.6381660349286,3.3047740000000004e-33,1550.9791070713468,0.6482713548179662,2.4215444e-18,2.512944983418585,0.0,0.9350270133249567,1.2587605417267824,2811.0761675980407,53.01958286895551,-12.979405911609767,5.125398892724366,4.341441978165084,3422.118465976931,3.4489816245824185,0.0002922166517442652
0.0,1.0,0.0,0.0,0.0,0.0,2.4739293999999995e-22,0.0,1194.3229642312074,0.0,1602.7119917517996,0.6279889656315739,3.1240306e-26,2.35763269236498,0.0,0.9114426223998034,1.2404224565439543,2815.774865713745,53.06387533636932,-13.013640831004787,4.407289681511844,3.7530126197712392,3401.193609355076,3.0255922891204534,0.0002940144298899871
0.0,1.0,0.0,0.0,0.0,0.0,9.989777e-17,0.0,1212.6689663298794,0.0,1632.8048362361415,0.6480220065235165,5.784716e-21,2.292909501680532,0.0,0.9659009830473898,1.2409658886740684,2780.54019529089,52.730827750860215,-12.143761977558846,4.472014065934566,3.8124488545374415,3469.218259169343,3.072162489986665,0.00028824937645734536
0.0,1.0,0.0,0.0,0.0,5.6420000000000005e-42,8.454434699999998e-19,0.0,1067.9195952110972,0.0,1457.5296612057025,0.5930766775520742,2.2990206e-19,2.5144417214188954,7.599999999999998e-44,0.863999402944886,1.257122126019326,2685.2215853195607,51.81912374133282,-12.732994027772296,4.327413385137989,3.6387931980591013,3133.3305655471004,2.8945423222971427,0.0003191492180862167
0.0,1.0,0.0,0.0,0.0,0.0,1.03450665e-29,0.0,1129.9195475951378,1e-45,1537.299730707951,0.6175062365642343,8.117023999999999e-30,2.4099494501860232,0.0,0.9034259366416564,1.255495023100956,2723.0489924813432,52.18284193565298,-15.180232507241115,4.992699703351919,4.229830613350166,3284.182035381173,3.3690540667400475,0.0003044898209742313
