score 0,score 1,score 2,score 3,score 4,score 5,score 6,score 7,score 8,score 9
1.0,1.0142485e-24,0.0,0.0,0.0,0.0,0.0,0.0,3.0180923e-24,0.0
1.0,1.1919068e-26,0.0,0.0,0.0,0.0,0.0,0.0,6.1732318e-27,2.14e-43
1.0,8.363187e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.5056465e-16,1.4706927e-32
1.0,1.24929535e-23,0.0,0.0,0.0,0.0,0.0,0.0,1.06799456e-26,2.8393e-41
1.0,3.1418994e-25,0.0,0.0,0.0,0.0,0.0,0.0,2.2077949e-26,0.0
1.0,7.265658e-21,0.0,4.33e-43,0.0,0.0,0.0,0.0,1.2934993e-22,3.18934e-40
1.0,1.4587275e-28,0.0,1e-45,0.0,0.0,0.0,0.0,1.0088342e-25,0.0
1.0,5.7587375e-09,1.1137644e-31,8.004361e-30,0.0,6.096371e-37,0.0,0.0,9.91417e-10,1.2682253e-28
1.0,7.583417e-13,1.8016106e-36,1.6785662e-31,0.0,0.0,0.0,0.0,3.771782e-14,1.58853e-40
1.0,1.0536165e-12,5.62e-43,0.0,0.0,0.0,0.0,0.0,2.848648e-15,1.44e-43
1.0,8.655463e-17,2.17e-43,6.982624e-29,0.0,0.0,0.0,0.0,3.0859327e-15,4e-45
1.0,2.3475882e-25,0.0,1.4e-44,0.0,0.0,0.0,0.0,3.5200303e-28,0.0
1.0,5.367766e-16,1.0856402e-35,4.4812e-41,0.0,0.0,0.0,0.0,6.542358e-19,2.3383975e-27
1.0,1.9503421e-34,0.0,0.0,0.0,0.0,0.0,0.0,4.1088164e-31,0.0
1.0,4.1987034e-16,0.0,0.0,0.0,0.0,0.0,0.0,2.4215444e-18,3.304774e-33
1.0,2.4739294e-22,0.0,0.0,0.0,0.0,0.0,0.0,3.1240306e-26,0.0
1.0,9.989777e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.784716e-21,0.0
1.0,8.4544347e-19,7.6e-44,5.642e-42,0.0,0.0,0.0,0.0,2.2990206e-19,0.0
1.0,1.03450665e-29,0.0,0.0,0.0,0.0,0.0,0.0,8.117024e-30,1e-45
1.0,1.12575736e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.37789e-29,0.0
1.0,3.155916e-26,1.1e-43,0.0,0.0,0.0,0.0,0.0,2.601577e-26,1.6230298e-38
1.0,2.4650173e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0004632e-27,0.0
1.0,1.803186e-20,0.0,0.0,0.0,0.0,0.0,0.0,3.8275334e-22,6.9887386e-33
1.0,3.5008007e-13,1.1580317e-21,1.0555314e-27,0.0,0.0,1.895e-42,0.0,1.4181909e-12,1.0734962e-19
1.0,1.8972139e-34,0.0,0.0,0.0,0.0,0.0,0.0,5.609737e-35,0.0
1.0,6.9074615e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.4439256e-25,0.0
1.0,1.0595573e-20,0.0,0.0,0.0,0.0,0.0,0.0,1.4265319e-25,1.0808e-41
1.0,2.0743342e-24,0.0,0.0,0.0,0.0,0.0,0.0,7.2774116e-23,0.0
1.0,2.45251e-26,0.0,0.0,0.0,0.0,0.0,0.0,5.71897e-32,0.0
1.0,4.483267e-28,0.0,0.0,0.0,0.0,0.0,0.0,5.292654e-32,0.0
1.0,8.165443e-22,6.13765e-40,1.68e-43,0.0,0.0,0.0,0.0,1.6630051e-20,4.536708e-33
1.0,8.4050055e-20,0.0,6.3e-44,0.0,0.0,0.0,0.0,3.9442147e-22,1.11e-43
1.0,6.8412787e-28,0.0,0.0,0.0,0.0,0.0,0.0,4.9871136e-30,1.3e-44
1.0,1.4971213e-25,6.452766e-39,4.8786802e-27,2.51e-43,0.0,5.7149e-41,4.580276e-37,1.2096912e-22,1.58072e-40
1.0,1.9127734e-33,0.0,0.0,0.0,0.0,0.0,0.0,7.968205e-36,0.0
1.0,2.9306763e-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0789844e-28,2.7e-43
1.0,1.8908703e-19,4.9218194e-36,1.607544e-39,0.0,0.0,0.0,0.0,1.07429093e-19,2.6791362e-34
1.0,5.454532e-20,3.47874e-40,0.0,0.0,0.0,0.0,0.0,1.3988563e-23,1.6443266e-35
1.0,1.0881455e-18,0.0,0.0,0.0,0.0,0.0,0.0,7.059552e-27,6e-45
1.0,9.7808214e-20,0.0,1e-45,0.0,0.0,0.0,0.0,5.730636e-23,0.0
1.0,1.3029314e-25,0.0,0.0,0.0,0.0,0.0,0.0,6.0184793e-29,7.3467e-41
1.0,4.896983e-15,1.8596e-40,4e-45,0.0,0.0,0.0,0.0,6.0322935e-14,4.1904856e-28
1.0,3.3440422e-22,3e-45,4.09e-43,0.0,0.0,0.0,0.0,1.6304533e-21,1.19265e-40
1.0,2.7456664e-25,0.0,0.0,0.0,0.0,0.0,0.0,7.2972417e-28,0.0
1.0,7.674554e-23,0.0,0.0,0.0,0.0,0.0,0.0,7.9911325e-27,0.0
1.0,3.6549598e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.120244e-27,7.3e-44
1.0,1.3055142e-24,0.0,0.0,0.0,0.0,0.0,0.0,7.867958e-28,0.0
1.0,1.4756617e-23,0.0,0.0,0.0,0.0,0.0,0.0,6.7487816e-24,8.125e-42
1.0,1.5924788e-19,1.05306e-40,1.568294e-39,0.0,0.0,0.0,0.0,1.7619882e-18,1.7829108e-37
1.0,1.5950429e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.1929108e-28,0.0
1.0,1.4278552e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.3573806e-21,4.884e-42
1.0,1.7061774e-16,2.273895e-39,2.3056e-41,0.0,0.0,0.0,0.0,5.8689405e-19,1.5068056e-38
1.0,3.4385983e-33,0.0,0.0,0.0,0.0,0.0,0.0,3.5168056e-30,0.0
1.0,1.5571605e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.2584144e-19,2.7657605e-36
1.0,1.167151e-19,0.0,0.0,0.0,0.0,0.0,0.0,4.574529e-23,1.6171e-40
1.0,4.1705014e-29,0.0,0.0,0.0,0.0,0.0,0.0,5.245968e-29,2.7e-44
1.0,1.9013462e-09,3.014471e-37,2.036554e-35,0.0,0.0,0.0,0.0,2.7508425e-12,3.312603e-31
1.0,3.487534e-23,0.0,0.0,0.0,0.0,0.0,0.0,6.457237e-27,2.0637227e-35
1.0,5.2649545e-21,1.0746096e-36,6.6086246e-35,0.0,0.0,0.0,0.0,2.0204379e-18,2.5643024e-34
1.0,1.7060296e-14,0.0,0.0,0.0,0.0,0.0,0.0,4.7390467e-22,5.211383e-36
1.0,1.1771094e-25,0.0,0.0,0.0,0.0,0.0,0.0,3.444167e-24,0.0
1.0,3.0885606e-14,0.0,1.9e-42,0.0,0.0,0.0,0.0,8.268913e-15,2.622894e-39
1.0,1.1664168e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.4194589e-32,0.0
1.0,1.953009e-10,0.0,6.333561e-39,0.0,0.0,0.0,0.0,1.326207e-13,4.7826e-41
1.0,1.20409e-19,0.0,7.75e-43,0.0,0.0,0.0,0.0,7.690757e-24,0.0
1.0,4.2431306e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.8354382e-25,1.3e-44
1.0,3.0760743e-21,0.0,2.2e-44,0.0,0.0,0.0,0.0,1.9788386e-23,8.504356e-39
1.0,9.536344e-18,0.0,0.0,0.0,0.0,0.0,0.0,1.125962e-21,6.595e-42
1.0,7.217226e-23,0.0,1.44e-42,0.0,0.0,0.0,0.0,5.5857695e-23,0.0
