label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,score 0,score 1,score 2,score 3,score 4,score 5,score 6,score 7,score 8,score 9
0.0,-0.02953265230466367,0.967422490217796,0.6401961027606897,0.9669500005729008,3.141055702297598,-14.658927603038087,15.6242727889186,3.2484158440835387,4.906396163226487,1.264866107118299,4.1088111030073495,957.4321188945233,13.59187230811959,13.59187230811959,6.254785135780632,57.104614416463306,1184.6077258384205,2814.476397546135,1602.7744019365548,3388.3554372210588,0.00029512842395901186,2.375872059718465,0.6085980363010923,0.8934975262189219,53.051638971346925,17.316801,-34.803425,-24.061298,-37.28051,-35.302193,2.0703485,-28.977396000000002,-40.73478,7.4514135999999995,6.8817395999999995
0.0,0.03099201954278648,1.0214225602371778,0.7083250367655007,1.0209236969301383,3.0683744758914484,-11.708271970061386,11.067129482574028,3.0054885444601607,4.331873527869196,1.2283817685294072,3.6918873335388462,1067.3000396323855,13.630529851478196,13.630529851478196,6.569049610059392,61.31103047353322,1060.6604813272354,2726.3924060233976,1488.5134212993396,3295.940481486999,0.00030340353705320534,2.570466661124004,0.6353702880709259,0.9159641987431262,52.21486767218124,22.274944,-43.316296,-19.088522,-42.948105,-42.977573,3.4594902999999997,-32.255179999999996,-35.489952,6.694674000000001,1.4173284
0.0,-0.015166108395458157,0.9977656355654791,0.6729001370055737,0.9972783263126926,3.6200910581563077,-14.157169904499485,14.119170615053749,3.6299706537703726,5.379834033421101,1.2518199007774735,4.544069503627969,1018.4335975762385,14.310691332101648,14.310691332101648,6.8800608677763275,72.17352100793424,1215.7088807545877,2986.059528143573,1650.4807037480966,3575.3691995390263,0.00027969139526316057,2.456229098441836,0.6411493909231352,0.8987764442646565,54.64484905408353,19.911095,-29.586696999999997,-19.225784,-18.7106,-28.409033,-1.3408421999999998,-16.116429999999998,-34.270584,4.2427529999999996,-1.278857
0.0,0.04491333932006514,0.981638883892924,0.6689907780955048,0.9811594509540004,3.1425666897249296,-12.167601106644375,13.707988481182928,3.202911297108081,4.697473855575777,1.2490507674735862,4.000598813802668,985.7780410330678,14.332205114309245,14.332205114309245,6.686801906292782,66.67005623215226,1225.6863452990012,3055.728517751981,1674.9069575543936,3610.541209333721,0.0002769667875317056,2.493075434406139,0.6225223172432716,0.8560884301654449,55.27864431904947,14.960362,-28.292908,-7.3925247,-31.269446999999996,-31.430196999999996,0.08993246,-22.544415,-18.453447,7.285591,0.8285459000000001
0.0,0.01712877247836787,0.9823361212786677,0.6712773599616387,0.9818563478086438,3.1674852391725605,-12.501073824340553,12.875661606841073,3.2260169690219067,4.718593875046778,1.242088449754102,4.006998415932848,987.1788930376996,14.171535943561262,14.171535943561262,5.928566108175173,54.09634307478878,1137.7910096376293,2678.717750104849,1518.9589007931245,3159.13831668175,0.00031654201233276974,2.3543143929024226,0.5877417049383195,0.8571979724491179,51.756330531683275,27.879414,-46.477207,-27.724611,-42.82605,-33.06139,10.678937,-33.358284000000005,-37.885193,5.0552864,5.263107
0.0,0.016538366564290932,1.0112702149882644,0.6874471398633999,1.0107763100918987,3.1212335496413752,-12.699213800768938,12.91575988596749,3.087956769938144,4.540325166327093,1.2473296498882391,3.851700036716962,1046.188799020026,13.88060042145958,13.88060042145958,6.6001198198208835,61.856743476311635,1122.5930158985134,2801.162759099769,1546.2171950773925,3393.051657497036,0.000294719945624899,2.495261167162833,0.6428809622385556,0.9295122408206541,52.92601212163797,18.4603,-35.10765,-23.914392000000003,-23.812239,-28.288725,-3.471023,-19.718882,-45.60161,8.2835045,-4.3928413
0.0,0.015647918300437186,1.00849929699788,0.6652250939592137,1.008006745419295,3.211944224021708,-13.96666547630806,16.208991605676008,3.1864312799669343,4.8283569774934545,1.269125886570451,4.043982423183852,1040.4634611822582,14.339303183555298,14.339303183555298,6.046163336405625,55.72600812538445,1146.1840764433375,2718.8972471718544,1531.2760962346076,3233.0309046639045,0.0003093072814606939,2.372129663159096,0.6129633104078165,0.8892060216045343,52.143046009720756,20.076902,-38.107937,-19.23442,-41.849342,-35.495284999999996,5.10985,-33.632053000000006,-31.652958,3.8652747000000005,6.023296
0.0,0.02523314218416717,0.9614385436813898,0.6722073276316606,0.96096897659908,3.3095439998754883,-11.969538681524966,11.768388746609093,3.4439654978125724,4.923397683770816,1.2290882216489152,4.232937429126674,945.6244469615442,13.026281109830933,13.026281109830933,7.803617921398773,90.5369916200633,1174.4964115940786,2667.652813779728,1572.2783943026998,3249.8244262565504,0.00030770893095658484,2.2713162743163013,0.5976739361180453,0.8974482743890164,51.64932539520461,17.262943,-35.748096000000004,-8.879173,-33.632290000000005,-37.7338,8.518958,-27.893340000000002,-21.09236,4.948940299999999,1.9977075
0.0,0.04934622306838052,0.9743615096370808,0.6721388835002136,0.9738856309715102,3.253381234016192,-11.771441972911065,12.589953813095038,3.3406194018601,4.840340759745911,1.2394886876502855,4.140659958350656,971.2160995458831,13.941144049273207,13.941144049273207,6.122390675149022,54.93817345883471,1126.940609171098,2720.410341543225,1526.987789414386,3236.398922516689,0.00030898539516951144,2.4139784469601966,0.6010936069427864,0.8773880795316785,52.1575530632259,16.580896,-39.916775,-14.1820135,-34.9003,-32.397427,-3.5994785000000005,-23.399964999999998,-30.688902000000002,5.5621867,-0.92763084
0.0,0.00997615001110791,1.0021723722620142,0.686938050326644,1.0016829107567444,3.0320338626883743,-13.009570713998803,12.423553771849592,3.026939793150464,4.413838862538799,1.240089465957562,3.7536761515736514,1027.4495013909545,13.910558120371432,13.910558120371432,6.842793439524705,67.66658348450599,1171.8706785781167,2835.366360337867,1590.3260934202594,3444.1633093591554,0.00029034627866878567,2.4195215497482567,0.6419067521916904,0.9395338537466212,53.248158281182526,9.446218,-27.833721,-12.666117,-19.943363,-30.50933,-2.4490225,-16.610838,-27.875747999999998,5.843922599999999,0.45733019999999996
