label,score 0,score 1,score 3,score 5
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,8.0279e-41,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,9.127829999999999e-40,0.0,0.0
0.0,1.0,7.056254e-38,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1e-44
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,6.1022208e-34,0.0,0.0
0.0,1.0,1e-45,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,0.9984635,3.6646286e-33,1.3138299999999995e-40,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,2.7880239999999997e-38,0.0,1.7004146e-38
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,4.235087999999998e-32,2.371706e-37,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,1e-45,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,3.4982859999999994e-39,0.0,0.0
0.0,1.0,9.15437e-34,4.5686999999999997e-41,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,2.6974166e-37,0.0,3.6000000000000004e-44
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,1.71e-43,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,1.86625e-40,0.0,0.0
0.0,1.0,0.0,9.196299999999999e-41,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,4e-45,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,1.4730000000000002e-42,0.0,1e-45
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,1.3999999999999998e-44,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,2.1103635999999998e-38,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0
1.0,3.686744e-13,0.9999713,3.7771042e-07,8.9063853e-13
1.0,1.2725939e-09,0.99978226,3.7561796e-05,1.8080885e-10
1.0,4.1332866e-12,0.99982846,1.6214035e-05,1.9141935e-14
1.0,3.2432142999999995e-12,0.9999448,6.5952304e-06,1.1732176e-15
1.0,1.6740148999999999e-15,0.99999666,5.0088573e-07,2.0694197e-16
1.0,3.7824074e-15,0.99945873,0.0004425522,5.373937e-15
1.0,1.3185851999999998e-16,0.9999676,1.8661568e-06,1.8698956e-16
1.0,1.3742401e-12,0.99989474,1.4017117e-05,4.9244956e-13
1.0,1.9201942e-16,0.99999917,7.650743299999998e-07,1.5538398e-17
1.0,2.2160479e-12,0.9999876,5.41632e-06,4.0570786e-13
1.0,3.727755e-12,0.99836975,8.160609499999998e-07,8.976499000000002e-11
1.0,1.4361918e-12,0.99996734,1.0282064e-05,4.2922154e-17
1.0,6.3267137e-19,0.99999917,3.190737e-09,2.4739809e-17
1.0,3.195163e-13,0.9998958,1.0919223e-06,7.363101400000001e-12
1.0,1.246283e-10,0.9929047,1.6836724e-06,2.3259482999999998e-10
1.0,1.904572e-10,0.9951805,0.003965419699999999,4.5100570000000004e-11
1.0,1.036009e-16,0.99993396,4.4227555e-09,1.5643368000000001e-13
1.0,4.7377646e-14,0.9997521,3.6997121e-06,1.3352784999999996e-13
1.0,2.178568e-10,0.9804315999999998,6.742659e-08,3.4959328e-07
1.0,1.1733607e-12,0.99972194,9.572565999999998e-07,7.9166856e-10
1.0,3.0079837e-16,0.9999598,7.756048e-08,1.8448018000000006e-14
1.0,1.727049e-07,0.999663,3.4777764e-05,1.5044013e-10
1.0,9.3917e-16,0.9967482,6.8360737e-07,2.5499727e-09
1.0,9.332244e-17,0.9999865,2.4783699e-06,1.5600386e-17
1.0,4.88803e-13,0.9999144,4.846495e-06,2.7554847000000004e-16
1.0,2.5750229999999997e-16,0.99997425,2.336656e-05,4.2051192000000005e-16
1.0,2.7534539999999997e-14,0.9999944,4.676321599999998e-06,9.732064e-17
1.0,1.3222543e-15,0.99919087,2.7610938e-06,4.5026480000000004e-13
1.0,4.4133617e-19,0.99998915,1.3148442e-08,1.2616472e-16
1.0,2.9027432e-12,0.98679745,2.7454476e-07,1.1326661e-08
1.0,2.3644864000000002e-11,0.9472536,8.417485000000001e-06,1.6505005000000003e-08
1.0,1.6981701e-13,0.9996736,3.5624998e-06,7.300157e-11
1.0,9.755639999999999e-16,0.9998005,5.5261967000000015e-08,1.3340485e-15
1.0,2.2066671000000007e-12,0.99457574,5.141036500000001e-07,4.309667e-10
1.0,5.0603620000000004e-12,0.9987527,1.1311938e-05,6.5185455e-13
1.0,1.3156047e-09,0.99870527,6.377203000000001e-07,1.3273901e-10
1.0,5.0658177e-16,0.9999385,6.659350999999999e-08,2.3733956e-16
1.0,6.008485e-10,0.9994023,0.0005512653,1.4059204e-14
1.0,7.769337e-10,0.99994075,3.9960887e-07,1.4455809e-11
1.0,1.3218544e-14,0.99999,9.898044e-07,1.0481969e-14
1.0,5.252077500000002e-13,0.99746263,0.00018465698,6.2656876e-12
1.0,5.018401e-16,0.9999908000000002,6.480671e-08,1.2939788999999998e-14
1.0,9.010624e-14,0.9999862,6.20273e-06,1.8912745e-14
1.0,1.1333585e-09,0.9992537,1.6435635e-05,1.2972697e-09
1.0,3.1996646e-07,0.99504733,0.00023715058,4.1621755e-09
1.0,3.1129819999999995e-17,0.9999505,4.8759586e-05,9.1802094e-20
1.0,4.7734933e-13,0.99985266,8.380796999999999e-05,1.3859238e-13
1.0,8.135534399999999e-16,0.9999018,1.3682167999999998e-07,6.596508e-15
1.0,7.472437e-17,0.999824,0.00017550886000000006,2.477372e-17
1.0,2.6730467e-12,0.9998914,7.1777155e-05,2.4038627e-12
1.0,2.2611474e-12,0.99930465,1.3761958e-06,3.4603178e-11
1.0,4.042687600000002e-16,0.99999094,3.5488204e-06,9.342119999999999e-16
1.0,1.01595685e-11,0.99974996,6.183832e-06,5.095995e-13
1.0,3.3663387e-15,0.99956185,0.00042351562,9.206218e-16
1.0,4.2080545e-20,0.9999989,1.0310378e-06,1.4810854000000003e-23
1.0,2.7180133e-12,0.99978334,2.2519022e-07,1.1600755e-13
1.0,2.0977076e-15,0.9999927,7.3109927e-06,5.533526e-19
1.0,2.0068515e-11,0.9968154,8.68947e-05,2.995196e-10
1.0,1.189586e-14,0.99899143,5.159478400000002e-06,6.9824566999999994e-12
1.0,1.4861834e-11,0.99473405,3.6522931e-06,1.9931652e-07
1.0,7.842093e-11,0.9993729,1.3514474e-06,8.865983000000001e-09
1.0,8.218947e-12,0.9999305,2.6494228e-05,2.8234735999999997e-13
1.0,1.3224105e-16,0.999992,5.190581e-07,6.324355e-18
1.0,2.886567e-14,0.9999821,4.7103998e-07,1.4721056999999995e-14
1.0,7.516761e-15,0.99323636,4.529845e-09,7.163644e-11
1.0,1.0298350000000001e-12,0.9999685,5.800634399999999e-07,1.03794516e-13
1.0,7.0402655e-14,0.99962103,4.856663599999999e-07,3.547972e-13
1.0,4.110262299999999e-16,0.9957071,2.4694232000000004e-08,1.1333678e-11
1.0,3.213949e-14,0.99995077,1.9052384e-09,3.667698e-16
1.0,1.2469761e-09,0.9998226999999998,6.2320396e-07,3.2551703999999995e-11
1.0,1.9339245e-13,0.9999701,3.3334075e-08,3.2410712e-15
1.0,8.264091e-09,0.99949574,9.664817e-05,1.3073115e-10
1.0,2.0783894e-13,0.99998677,1.0003605e-06,5.936136499999999e-13
1.0,4.673044e-16,0.9999869,2.052082e-08,5.1854844e-18
1.0,4.6746494999999996e-14,0.9996427,4.1454186e-08,1.1428502e-11
1.0,4.9637126e-15,0.99984765,7.3798724e-08,4.4431383e-13
1.0,6.528826e-13,0.99992144,3.2811913e-05,2.617684e-14
1.0,5.151058e-16,0.99999666,5.270038e-07,1.20752785e-17
1.0,2.2870588e-15,0.99991226,7.634169e-05,5.855844999999998e-16
1.0,1.5814874e-16,0.99988925,1.5029901999999998e-07,4.3843782999999986e-12
1.0,1.2147634e-13,0.99954116,1.7523537e-07,2.9849000000000004e-14
1.0,6.515831400000002e-14,0.9997799,1.3417936e-08,3.9542513e-15
1.0,5.0168477e-11,0.9993585,1.0504123999999998e-06,3.388560700000001e-14
1.0,7.062878e-17,0.9999472,1.3202875e-08,7.5142655e-17
1.0,2.2727414e-14,0.9998708,1.276568e-06,1.29111e-13
1.0,5.07747e-10,0.99971336,6.9386238e-06,1.5756687999999999e-13
1.0,7.091107e-14,0.9986864,8.125904e-06,3.0473253e-13
1.0,9.879209e-12,0.9497896999999998,6.669543e-06,3.35624e-09
1.0,1.5855161e-16,0.99999964,1.429865e-07,1.0221827e-18
1.0,1.3894372e-11,0.9992995,7.385143e-05,3.5742198e-09
1.0,1.2533635e-10,0.9969472,1.8889632e-06,9.524067e-12
1.0,5.67869e-15,0.9995572,3.2026846e-06,7.790175e-12
1.0,1.7835893e-17,0.99933296,0.0006667586,8.2871503e-19
1.0,5.9144334e-13,0.99917775,4.1379047e-07,4.3675062e-13
1.0,1.8020581e-09,0.9948938,1.2527221000000002e-06,1.2148972e-09
1.0,1.578527e-15,0.9999988,5.160993e-08,2.4889862e-15
1.0,1.08535903e-16,0.99970466,0.00026841855,1.4114360999999999e-13
1.0,1.5303381e-12,0.99879694,4.542767700000001e-07,6.966563e-11
1.0,1.4365837e-15,0.9999975,2.3616935e-06,6.343481e-17
1.0,8.088035e-14,0.99998844,1.5491696000000004e-06,1.999651e-14
1.0,1.0105516e-18,0.99999976,1.3814129e-07,1.3119824999999999e-19
1.0,1.819129e-16,0.99998486,5.895632e-08,7.8312357e-16
