label,score 0,score 1,score 3,score 5,score 4,score 8,f22,f18,f16,score 6,score 7,f23,score 2,f21
0.0,1.0,0.0,0.0,0.0,0.0,1.9624368e-22,0.7682701735535459,1563.0166500536884,1145.656532300286,5.999999999999998e-45,0.0,1.13885747549212,5.176603e-39,2.3406085710127327
0.0,1.0,0.0,0.0,0.0,0.0,1.8913295e-14,0.7998648144700036,1490.1823503739954,1082.8889768181368,0.0,0.0,1.23597830971165,8.914439999999997e-36,2.3707236442478585
0.0,1.0,0.0,0.0,0.0,0.0,1.1650075e-18,0.743507955546302,1633.9178303447973,1180.6168445573815,0.0,0.0,1.0695680709795985,1.99747e-40,2.4068053031920043
0.0,1.0,0.0,0.0,0.0,0.0,7.699469000000001e-18,0.7529890765243922,1606.448234446229,1151.8142193392207,0.0,0.0,1.084419188378314,0.0,2.4723118409027527
0.0,1.0,0.0,0.0,0.0,0.0,6.506161e-22,0.7370491817462766,1645.666365717724,1182.6522979015288,0.0,0.0,1.0462722122685597,2.7619509999999993e-39,2.4426688777007297
0.0,1.0,0.0,0.0,0.0,0.0,2.6962419999999996e-16,0.7669937537856898,1617.958589880673,1174.3267603173724,0.0,0.0,1.1332951194824226,0.0,2.3803609352198096
0.0,1.0,8.0279e-41,0.0,0.0,0.0,1.4607188e-16,0.7704522266201861,1571.7039266752654,1139.561277438317,0.0,0.0,1.170064905253529,4.1198709999999994e-36,2.380368476095528
0.0,1.0,0.0,0.0,0.0,0.0,5.715621e-21,0.7681421870764158,1514.9455062149011,1095.1010320846383,0.0,0.0,1.158396364769032,0.0,2.376707350909241
0.0,1.0,0.0,0.0,0.0,0.0,1.6479751e-20,0.7511028742594639,1590.7690656192713,1154.4507393770625,0.0,0.0,1.0879841325903177,4.835448e-37,2.43224478151435
0.0,1.0,0.0,0.0,0.0,0.0,1.0072916999999999e-26,0.7639797582243495,1654.658096104697,1204.2457704151695,0.0,0.0,1.1229555310661987,0.0,2.319956148126175
0.0,1.0,0.0,0.0,0.0,0.0,1.1405295e-30,0.8031130709103738,1554.8525718889246,1138.2219875406574,0.0,0.0,1.2742629518185946,0.0,2.230896758587647
0.0,1.0,9.127829999999999e-40,0.0,0.0,0.0,4.9908005e-17,0.7700104025646927,1448.4994451834714,1061.6258687428074,0.0,0.0,1.190202733042393,1.8000000000000002e-44,2.3389438368729127
0.0,1.0,7.056254e-38,0.0,0.0,0.0,8.4631987e-22,0.79834191248926,1492.5112101535938,1084.1060117101517,0.0,0.0,1.2158635367725823,0.0,2.396656145706107
