label,f22,score 9,f19,f18,f16,f23,f9,f21,f5,f24,f8,f17
0.0,0.7682701735535459,-0.1071083,3536.594055777021,1563.0166500536886,1145.656532300286,1.1388574754921201,1.2380562004883078,2.3406085710127327,-12.825895000981028,51.78352536221124,4.09309243698344,2681.533498938775
0.0,0.7998648144700036,-0.1071083,3461.456858923012,1490.1823503739954,1082.8889768181368,1.23597830971165,1.2500211108298822,2.3707236442478585,-12.658426453472181,50.66784484698484,4.647600603264556,2567.230501438128
0.0,0.743507955546302,-0.1071083,3690.4632417567022,1633.9178303447973,1180.6168445573815,1.0695680709795985,1.2365615636515606,2.4068053031920043,-12.668689632952027,53.30586161500924,3.8479437639726366,2841.514882518516
0.0,0.7529890765243922,-0.1071083,3690.9886679758392,1606.448234446229,1151.8142193392207,1.084419188378314,1.2376454325439423,2.4723118409027527,-11.848185525651937,53.36332010840889,4.4365740325541685,2847.643932992516
0.0,0.7370491817462766,-0.1071083,3724.6295430942,1645.666365717724,1182.6522979015288,1.0462722122685597,1.2556409171032448,2.4426688777007297,-12.803203491096008,53.74781819967501,4.459127770768625,2888.827961225317
0.0,0.7669937537856898,-0.1071083,3687.5329643218042,1617.958589880673,1174.3267603173724,1.1332951194824226,1.241263658631753,2.3803609352198096,-11.896035996442244,52.87080049935607,4.5010193415965984,2795.32154544271
0.0,0.7704522266201861,-0.1071083,3602.79503638353,1571.7039266752654,1139.561277438317,1.170064905253529,1.2600081020280791,2.380368476095528,-14.244252462899215,52.08239377556795,4.6213578685174435,2712.57574139332
0.0,0.7681421870764158,-0.1071083,3462.7302697130444,1514.9455062149013,1095.1010320846383,1.158396364769032,1.2447486311045743,2.376707350909241,-12.637316978450205,51.01700376290102,4.4705624094150425,2602.7346729438564
0.0,0.7511028742594639,-0.1071083,3627.261120512917,1590.7690656192713,1154.4507393770625,1.0879841325903177,1.2506126481222068,2.43224478151435,-13.540745976587818,52.98968566018525,4.62157954833565,2807.906786365242
0.0,0.7639797582243495,-0.1071083,3717.3128611173524,1654.658096104697,1204.2457704151695,1.1229555310661987,1.2547791695353925,2.319956148126175,-13.75357089900444,52.85638446705956,5.052091337201492,2793.7973789296148
