label,f16,f21,f23,f18,f22,f17,f9,f24,f5,score 4
0.0,1180.0121517777775,2.457505617031744,0.8871577493180722,1599.8035505775695,0.6235627894541118,2899.886491159602,1.2650193872372368,53.85059415790696,-14.28112905501674,-109.851234
0.0,1117.8967648933217,2.5655084060718667,0.8596433744353875,1532.015124053124,0.6191434870605251,2867.9735474543627,1.2434980726350595,53.553464383309155,-13.419988051687827,-62.46672
0.0,1165.250621428633,2.4017338787295905,0.9037213011684736,1579.9389705072088,0.6253489888646601,2798.6218946958556,1.245452674550917,52.902002747493924,-12.554437647833776,-85.316956
0.0,1156.8589851499173,2.4683353122365457,0.9012179225289904,1571.7084672530093,0.6310074696749296,2855.5158843236745,1.2316857649085424,53.43702727813061,-11.989339300281804,-83.39305
0.0,1216.3075221263844,2.4353574461256486,0.8867705296775178,1658.9285492913818,0.6316864276989764,2962.143580789127,1.2507797698858594,54.42557836889864,-12.961787967946744,-71.03799000000002
0.0,1050.123330594784,2.5903377813286808,0.9112498602388251,1456.4486598550602,0.6354241464947973,2720.174138294377,1.2340504461422104,52.155288689589064,-11.415938010806766,-87.25774399999997
0.0,1186.178802651889,2.2320760164704287,0.8977813117108213,1570.438715271376,0.5990973737240337,2647.641256644892,1.2549056914035783,51.45523546389514,-13.103361351463313,-58.965904
0.0,1083.6441011484378,2.549301794901321,0.893217668224493,1490.8907833791975,0.6297215928707914,2762.5358520919417,1.2466131364378106,52.559831164987024,-13.696076687563965,-88.94631
0.0,1170.9744897630478,2.343363752042245,0.8848002929302429,1575.2733483252975,0.6110892366566679,2744.019173876889,1.245430088593355,52.38338643002082,-13.591362183739363,-59.401352
0.0,1229.7857576441004,2.51409315367887,0.8210275781547166,1686.0870236335227,0.6108439665818008,3091.7959537848146,1.2395619634191042,55.603920309496296,-13.028172188991235,-99.72643
0.0,1241.345419773787,2.519381720417224,0.8353625747564732,1698.195435703463,0.6269846440872553,3127.4229593017244,1.2353298818442584,55.92336684519025,-12.203105120412802,-63.983585
0.0,1174.956277584278,2.273499225454485,0.8744367336369402,1561.0487777018914,0.5882473626429774,2671.2621870307416,1.256333598420161,51.68425473034067,-13.421073298538019,-83.854965
0.0,1204.8414103534724,2.4462660693050617,0.8955631551581946,1653.921063519427,0.6366731399241197,2947.362661041356,1.261610438701661,54.28961835416929,-13.9612427583437,-99.1213
0.0,1308.9595376144894,2.5799193319742217,0.7008743649709837,1798.0950957261844,0.5587745839812982,3377.010015863661,1.242224803729945,58.11204708030565,-12.279965797160175,-91.78764
0.0,1145.8864658510847,2.349078245409085,0.8866108951051724,1557.4590614408442,0.6003855639393796,2691.776968639484,1.2498704478015137,51.88233773298466,-12.818905672377145,-73.86036
0.0,1102.3311016589673,2.5010805965591443,0.8932380911387484,1506.6577648988246,0.6225317876901468,2757.018929342909,1.2433085744065842,52.50732262592437,-11.919382466323011,-122.29379
0.0,1167.6394166647008,2.6180705337428987,0.8637396870475341,1627.9587234180826,0.6327663582733676,3056.9623508065997,1.2443362817893686,55.289803316765386,-12.773701910718064,-128.201
0.0,1160.108805333119,2.415991995567981,0.8915116778707063,1580.8765379663516,0.6219317640700665,2802.8135876727492,1.2360037185379271,52.9416054504654,-12.551998986361545,-87.27475
0.0,1128.958699264409,2.4905459470659306,0.8453849849390561,1537.2728502295429,0.5956450656563819,2811.7235128577986,1.2650409907456883,53.02568729264901,-14.54871599830128,-120.22504
0.0,1174.468496172307,2.334347493330679,0.8828240209995284,1570.184915857951,0.599385333067063,2741.617590035677,1.25504390936793,52.36045826800675,-14.460637889141864,-96.406395
0.0,1116.7837178857026,2.4320868993438722,0.9153649869326214,1510.3555455276926,0.6276168795618905,2716.11504967036,1.2447217488131008,52.11636067177331,-14.202105015864673,-87.34161999999998
