label,score 0,score 1,score 3,score 4,score 8,score 6,score 5,f18,f16,f21,score 7,f22
0.0,1.0,1.0342462e-29,0.0,0.0,3.58787e-35,0.0,0.0,1511.2265812860874,1104.153781695119,2.543227600985499,0.0,0.6497059414102676
0.0,1.0,8.625078e-31,0.0,0.0,2.9149529999999998e-39,0.0,0.0,1536.9918458878433,1105.0124398688008,2.480117947444456,0.0,0.6577333932537729
0.0,1.0,1.1659333e-31,0.0,0.0,8.758299999999998e-41,0.0,0.0,1516.2307423137738,1084.7343987792099,2.6079078109462435,0.0,0.6546445701642203
0.0,1.0,6.798526e-38,0.0,0.0,1.4916111e-37,0.0,0.0,1479.5078723634915,1087.051510753215,2.460790904162953,0.0,0.6812220976938769
0.0,1.0,3.1849418e-26,0.0,0.0,2.5443185e-26,0.0,0.0,1629.9617827031964,1219.1166481665248,2.2600518642385103,0.0,0.6670352378942475
0.0,1.0,3.6320259999999997e-31,0.0,0.0,2.7999999999999995e-44,0.0,0.0,1532.570356321402,1107.9529584828972,2.5119094108298845,0.0,0.6862931917374523
0.0,1.0,2.4511818999999997e-26,5.9e-44,0.0,8.8926e-41,0.0,0.0,1674.8732166333948,1198.7430199095447,2.5297131307743648,0.0,0.645368429830547
0.0,1.0,1.9435895e-28,0.0,0.0,1.938701e-37,0.0,0.0,1577.8185232812991,1150.7259904070308,2.373093188510245,0.0,0.6546575898892033
0.0,1.0,1.6368683999999998e-33,0.0,0.0,8.751027400000001e-36,0.0,0.0,1611.0025481866855,1169.2878194866776,2.4822056411876723,0.0,0.6799278453290922
0.0,1.0,1.000639e-34,0.0,0.0,8.339999999999999e-42,0.0,0.0,1548.6384901854474,1107.264134171447,2.583508561821865,0.0,0.6622162406536329
0.0,1.0,3.798858e-32,0.0,0.0,4.04034e-40,0.0,0.0,1518.563227947262,1070.4149734518153,2.7575863327347743,0.0,0.6499419920555146
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1596.011464795544,1156.302161813838,2.4336300162343707,0.0,0.6905394022869393
0.0,1.0,2.2227720999999996e-31,0.0,0.0,0.0,0.0,0.0,1568.8275423310938,1161.415407596545,2.3096500936817224,0.0,0.6383611073510657
0.0,1.0,2.231848e-22,0.0,0.0,8.600344999999999e-37,0.0,0.0,1576.1226705486565,1144.9243408776786,2.447322475173135,0.0,0.6744931292339289
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1664.4041723004445,1194.6402506951615,2.5740351255491905,0.0,0.6471826679419826
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1509.05148372212,1093.5157624601131,2.5072531225317403,0.0,0.6803146714941216
0.0,1.0,1.3894644999999999e-30,0.0,0.0,0.0,0.0,0.0,1606.6215290023208,1181.4107467661004,2.3553983245928776,0.0,0.6834698634448141
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1627.8462583267642,1170.88180803651,2.5825492079051204,0.0,0.646935442024613
0.0,1.0,8.745089e-28,0.0,0.0,2.8222539999999998e-39,0.0,0.0,1485.9691055142969,1074.8433505810665,2.5129456486723134,0.0,0.6441928705309433
0.0,1.0,4.0784218e-19,0.0,0.0,1.6740338e-22,0.0,0.0,1544.3018407683935,1150.1347172906944,2.2670130174208536,0.0,0.6612014637055692
0.0,1.0,2.3475307e-28,0.0,0.0,4.4370714999999997e-29,0.0,2.0999999999999998e-44,1572.4254008807745,1158.9324186619278,2.3315502435026887,0.0,0.6630274518104771
0.0,1.0,1.1659780999999998e-38,0.0,0.0,0.0,0.0,0.0,1544.9631121071716,1097.0198835528913,2.6617511029660466,0.0,0.6977463574962057
0.0,1.0,1.295892e-26,0.0,0.0,0.0,0.0,0.0,1593.6142687923407,1126.8153994116515,2.6104148310413224,0.0,0.6800123448290427
0.0,1.0,1.8273199999999997e-40,0.0,0.0,0.0,0.0,0.0,1568.3975041640585,1123.9414906055597,2.6078493126857807,0.0,0.6601129648432498
0.0,1.0,1.6878580999999994e-30,0.0,0.0,6.2780217e-38,0.0,0.0,1566.9658888268498,1157.2083815800959,2.318257708383438,0.0,0.6640965296295654
0.0,1.0,2.4818286e-32,0.0,0.0,5.0998529999999995e-37,0.0,0.0,1534.1098239810376,1116.6957179968795,2.4604797713363533,0.0,0.6510806859167044
0.0,1.0,1.6593415000000002e-36,0.0,0.0,0.0,0.0,0.0,1513.7648707397275,1079.5995455432646,2.619237326160828,0.0,0.6619660337550866
0.0,1.0,5.2674162999999995e-17,0.0,0.0,7.526e-42,0.0,0.0,1556.4909545930582,1102.2501371787312,2.6153421928011023,0.0,0.6500669653614856
0.0,1.0,8.176733e-28,0.0,0.0,0.0,0.0,0.0,1534.697156280408,1110.6621228768986,2.521199006576248,0.0,0.6591647661324264
0.0,1.0,5.150995e-24,0.0,0.0,1e-45,0.0,0.0,1693.0230080298795,1222.9372562200194,2.5256324304721107,0.0,0.6486911943277461
0.0,1.0,5.5204687e-28,0.0,0.0,1.3459347999999999e-37,0.0,0.0,1577.688430223263,1146.0761268533051,2.4892884364286463,0.0,0.6418223601083826
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1539.3605115500875,1088.651951874377,2.631133891635104,0.0,0.6700477770751351
0.0,1.0,1.3999999999999998e-44,0.0,0.0,0.0,0.0,0.0,1603.3170313643827,1167.050780543575,2.4513347831703705,0.0,0.6740890228052125
0.0,1.0,8.772074999999998e-38,0.0,0.0,0.0,0.0,0.0,1573.3197645963696,1134.620984134055,2.4079767960414946,0.0,0.6673456742160874
0.0,1.0,6.652650999999998e-38,0.0,0.0,4.486321999999999e-31,0.0,0.0,1504.092788282899,1082.7890714568748,2.492050288706745,0.0,0.6616142320424632
0.0,1.0,1.15904595e-32,0.0,0.0,1.4619589999999998e-35,0.0,0.0,1575.1354820734302,1146.9801738423855,2.396661177664672,0.0,0.66726493948185
0.0,1.0,1.8706174e-26,0.0,0.0,4e-45,0.0,0.0,1682.0785602128628,1211.8618471366945,2.427927127200742,0.0,0.6533025117899596
0.0,1.0,1.3300918999999996e-37,0.0,0.0,0.0,0.0,0.0,1508.4025795308703,1088.8529820732094,2.5582008409614883,0.0,0.6893111384152695
0.0,1.0,1.2963208e-28,0.0,0.0,0.0,0.0,0.0,1604.4073738881154,1132.7563491964195,2.7311386421039434,0.0,0.6486738401372615
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1887.6690295762369,1362.7497342870386,2.4296989223736802,0.0,0.5833469953669156
0.0,1.0,5.295128e-28,0.0,0.0,3.883012e-34,0.0,0.0,1687.375958218697,1199.5140244564611,2.5513392360984484,0.0,0.651337892698287
0.0,1.0,8.656201999999999e-29,0.0,0.0,3.2613140000000004e-35,0.0,0.0,1615.1518063705685,1177.2480091763211,2.410782136707108,0.0,0.6902173496197188
0.0,1.0,2.999999999999999e-45,0.0,0.0,2.5913e-41,0.0,0.0,1598.1052718839355,1181.1411472508673,2.2890887187087543,0.0,0.6607540608965717
0.0,1.0,5.0368794e-23,0.0,0.0,1.54949e-40,0.0,0.0,1541.1283640067145,1105.6377084767723,2.4875694946658884,0.0,0.651002739031179
0.0,1.0,2.6339549999999998e-23,0.0,0.0,2.3254229999999998e-39,1.164e-42,0.0,1579.9248383394254,1147.7771273295734,2.3681112705584506,0.0,0.6508683450198725
0.0,1.0,3.283090999999999e-38,0.0,0.0,0.0,0.0,0.0,1581.7662951511704,1122.1473142564535,2.615214935842838,0.0,0.6612380602102046
0.0,1.0,1.8278050999999998e-36,0.0,0.0,1.2999999999999998e-43,0.0,0.0,1654.028740279279,1213.1588221342877,2.3060780044655265,0.0,0.6416839888706164
0.0,1.0,4.55e-43,0.0,0.0,1e-45,0.0,0.0,1596.501624591264,1146.1027597202067,2.5003395458177,0.0,0.6697661711879107
0.0,1.0,2.999999999999999e-45,0.0,0.0,0.0,0.0,0.0,1696.3944467381054,1230.7922005921546,2.4214908723672406,0.0,0.6715341561817759
