label,score 0,score 1,score 3,score 4,score 8,score 6,score 5,f18,f16,f21,score 7,f22,score 2,f23,score 9,f9,f17,f5,f24,f8,f19
0.0,1.0,1.0342462e-29,0.0,0.0,3.58787e-35,0.0,0.0,1511.2265812860874,1104.153781695119,2.543227600985499,0.0,0.6497059414102676,0.0,0.9222209769040558,0.0,1.2584270908457451,2808.1143733395447,-14.654281457597575,52.99164437285886,6.205815296136231,3347.7336985306047
0.0,1.0,8.625078e-31,0.0,0.0,2.9149529999999998e-39,0.0,0.0,1536.9918458878433,1105.0124398688008,2.480117947444456,0.0,0.6577333932537729,0.0,0.9540827415787532,0.0,1.24806143487175,2740.561184268,-13.162294291670287,52.350369475945435,4.386909224830531,3388.472127156021
0.0,1.0,1.1659333e-31,0.0,0.0,8.758299999999998e-41,0.0,0.0,1516.2307423137738,1084.7343987792099,2.6079078109462435,0.0,0.6546445701642203,0.0,0.9332201146014256,0.0,1.2513343718991308,2828.887311378379,-14.175900236700047,53.18728524166635,4.561144586229722,3408.412115749554
0.0,1.0,6.798526e-38,0.0,0.0,1.4916111e-37,0.0,0.0,1479.5078723634915,1087.051510753215,2.460790904162953,0.0,0.6812220976938769,0.0,1.0095786480123936,0.0,1.2751091763533862,2675.0064700181083,-16.213577214419296,51.72046471193109,6.988238155665162,3297.104476569949
0.0,1.0,3.1849418e-26,0.0,0.0,2.5443185e-26,0.0,0.0,1629.9617827031964,1219.1166481665248,2.2600518642385103,0.0,0.6670352378942475,2.999999999999999e-45,0.979802119951638,0.0,1.2460862996918936,2755.2668534129584,-13.969489548365505,52.49063586405635,5.612376263884298,3462.0898621589795
0.0,1.0,3.6320259999999997e-31,0.0,0.0,2.7999999999999995e-44,0.0,0.0,1532.570356321402,1107.9529584828972,2.5119094108298845,0.0,0.6862931917374523,0.0,0.9926739741529974,0.0,1.271659605618315,2783.077463170001,-15.085872781989481,52.754880941672134,6.018283635869747,3445.0819229308613
0.0,1.0,2.4511818999999997e-26,5.9e-44,0.0,8.8926e-41,0.0,0.0,1674.8732166333948,1198.7430199095447,2.5297131307743648,0.0,0.645368429830547,0.0,0.8878213114137017,0.0,1.26832564219611,3032.475957889291,-15.765246930381632,55.06792131440311,4.541292250565163,3674.299338987724
0.0,1.0,1.9435895e-28,0.0,0.0,1.938701e-37,0.0,0.0,1577.8185232812991,1150.7259904070308,2.373093188510245,0.0,0.6546575898892033,0.0,0.9722007455137814,0.0,1.2382655637345141,2730.780009676631,-12.315578434759257,52.25686567023161,4.146556772147099,3415.9806618186003
0.0,1.0,1.6368683999999998e-33,0.0,0.0,8.751027400000001e-36,0.0,0.0,1611.0025481866855,1169.2878194866776,2.4822056411876723,0.0,0.6799278453290922,0.0,0.9663961431472792,0.0,1.2672944728909177,2902.4128217018642,-15.096692314660167,53.87404590061772,5.294106641903518,3580.769613467945
0.0,1.0,1.000639e-34,0.0,0.0,8.339999999999999e-42,0.0,0.0,1548.6384901854474,1107.264134171447,2.583508561821865,0.0,0.6622162406536329,0.0,0.935864326819674,0.0,1.2360344512429409,2860.626370830208,-13.21418852043267,53.48482374309752,5.099192154055119,3473.714083425641
0.0,1.0,3.798858e-32,0.0,0.0,4.04034e-40,0.0,0.0,1518.563227947262,1070.4149734518153,2.7575863327347743,0.0,0.6499419920555146,0.0,0.8872997167705453,0.0,1.2415715938213407,2951.761701145382,-11.33429793269982,54.3301178090512,4.90577223839467,3471.426863764269
