label,score 4,score 9,score 3,score 6,score 7,f18,score 1,f16,score 5,score 0,f21,score 2,f23,f22,score 8,f9,f17,f24,f5,f19,f8,f2,f20,f10,f7,f6,f14,f4,f15
0.0,0.0,6.42698e-10,1.2378013e-38,1.5249999999999997e-40,0.0,1599.8035505775695,5.236719e-26,1180.0121517777775,9.070576999999999e-38,1.0,2.457505617031744,4.611697499999999e-28,0.8871577493180722,0.6235627894541118,1.2479812e-11,1.2650193872372368,2899.886491159602,53.85059415790696,-14.28112905501674,3443.826283181505,5.241444351265211,0.6814802460453495,0.0002903746930800968,4.417475107959199,3.49202166585512,15.894048408634713,6.353168399380037,3.5719407861332235,61.8255657789528
0.0,4.738999999999999e-42,2.2769705e-06,6.04029e-30,9.783269e-26,8.392697e-39,1532.015124053124,2.3622471e-22,1117.8967648933217,4.4945045e-29,0.99999774,2.5655084060718667,6.845039000000001e-23,0.8596433744353875,0.6191434870605251,3.5744938e-09,1.2434980726350595,2867.9735474543627,53.553464383309155,-13.419988051687827,3345.0812696951707,5.158665607827387,0.7330459658111881,0.0002989463990186186,4.388199224016889,3.5289151793520563,12.991236553907342,5.601262877971821,3.7815390127867854,45.91500286256486
0.0,0.0,2.4857896e-09,4.922269999999999e-36,8.469067999999998e-39,3.5240999999999995e-41,1579.9389705072088,5.8287606999999994e-33,1165.250621428633,4.4812696e-34,1.0,2.4017338787295905,4.1172849999999996e-33,0.9037213011684736,0.6253489888646601,1.0034691999999997e-16,1.245452674550917,2798.6218946958556,52.902002747493924,-12.554437647833776,3376.7033571468874,4.986213376249899,0.6588070339447758,0.00029614683146017903,4.253490811271251,3.41521673057948,13.751065233715074,6.116851868755862,3.2849524450229626,56.74400274589551
0.0,0.0,1.0620706e-06,1.7014599e-35,7.817614e-39,1e-45,1571.7084672530093,3.181392799999999e-26,1156.8589851499173,8.2745835e-30,0.9999989,2.4683353122365457,7.557775599999998e-25,0.9012179225289904,0.6310074696749296,7.4662065e-10,1.2316857649085424,2855.5158843236745,53.43702727813061,-11.989339300281804,3404.7868504010053,4.521673275537184,0.721184659761927,0.000293704141826741,3.8800359283983816,3.1501833007597435,11.367974933676505,5.952325415451912,3.2609614027728817,51.52747163485114
0.0,0.0,0.00230927,3.7938217e-30,1.0042694e-31,1.5028905e-38,1658.9285492913818,3.3983276000000004e-19,1216.3075221263844,2.4976204999999998e-26,0.9976908,2.4353574461256486,1.7339091000000002e-19,0.8867705296775178,0.6316864276989764,1.1135185e-11,1.2507797698858594,2962.143580789127,54.42557836889864,-12.961787967946744,3564.8200590205292,4.583500682507379,0.6498562521581408,0.00028051906784735725,3.9006760941935457,3.118595445902922,13.75362724748655,5.8729323981176815,2.9786165752985263,53.61426242361677
0.0,8.300000000000001e-44,4.255391e-07,4.4934634e-23,2.9698885e-28,1.407656e-39,1456.4486598550602,4.8462635e-16,1050.123330594784,8.757719e-25,0.9999995,2.5903377813286808,1.2495178599999999e-17,0.9112498602388251,0.6354241464947973,2.7718508e-08,1.2340504461422104,2720.174138294377,52.155288689589064,-11.415938010806766,3236.2772471535864,4.487112335716054,0.7320860721216488,0.0003089970121934186,3.838229256063143,3.1102693314215046,11.693119144297338,5.694670987963934,3.2849524450229626,46.95825524509634
0.0,0.0,1.00717325e-05,1.1405755e-36,7.155e-42,0.0,1570.438715271376,2.0713324e-24,1186.178802651889,1.6290226999999995e-32,0.99999,2.2320760164704287,2.4342196e-24,0.8977813117108213,0.5990973737240337,1.351227e-12,1.2549056914035783,2647.641256644892,51.45523546389514,-13.103361351463313,3219.31593656948,5.234092331282323,0.6263747487264947,0.0003106249960249647,4.4124366066970495,3.5161499680201924,14.422274469940493,6.179270403774318,3.2785032688182376,60.40111182877412
0.0,0.0,7.853614e-08,1.7179433999999999e-34,1.3393246999999998e-34,1.6999999999999996e-44,1490.8907833791975,6.698244e-27,1083.6441011484378,1.0590783999999998e-31,0.9999999,2.549301794901321,7.022963199999998e-28,0.893217668224493,0.6297215928707914,2.295648e-10,1.2466131364378106,2762.5358520919417,52.559831164987024,-13.696076687563965,3273.5480208136933,4.6149099481600135,0.7170952979543542,0.00030547894628148284,3.905061787887335,3.1325370106768053,13.166581365385642,5.749250525919861,3.3093302243083187,49.26277816087961
0.0,0.0,6.45688e-08,0.0,0.0,0.0,1575.2733483252975,1.0791422e-33,1170.9744897630478,0.0,0.9999999,2.343363752042245,3.3063957000000004e-36,0.8848002929302429,0.6110892366566679,4.836013e-17,1.245430088593355,2744.019173876889,52.38338643002082,-13.591362183739363,3306.644729761,4.621734023761345,0.6688998421344139,0.00030242136114582796,3.9140028689873065,3.1426917535033696,13.422971223464446,6.539047220160551,3.0914771588812133,63.68938019833619
0.0,0.0,7.683612000000002e-14,0.0,0.0,0.0,1686.0870236335227,1.2347331e-35,1229.7857576441004,0.0,1.0,2.51409315367887,6.637882299999998e-35,0.8210275781547166,0.6108439665818008,6.818991000000002e-16,1.2395619634191042,3091.7959537848146,55.603920309496296,-13.028172188991235,3615.6071255358893,4.7662340282865765,0.6824479336715785,0.0002765787225435298,4.071859559005564,3.284918123636262,12.420121586757483,5.886329722642982,3.2527065639993378,52.57024492465253
