score 0,score 1,score 2,score 3,score 4,score 5,score 6,score 7,score 8,score 9
1.0,5.236719e-26,4.6116975e-28,1.2378013e-38,0.0,9.070577e-38,1.525e-40,0.0,1.2479812e-11,6.42698e-10
0.99999774,2.3622471e-22,6.845039e-23,6.04029e-30,4.739e-42,4.4945045e-29,9.783269e-26,8.392697e-39,3.5744938e-09,2.2769705e-06
1.0,5.8287607e-33,4.117285e-33,4.92227e-36,0.0,4.4812696e-34,8.469068e-39,3.5241e-41,1.0034692e-16,2.4857896e-09
0.9999989,3.1813928e-26,7.5577756e-25,1.7014599e-35,0.0,8.2745835e-30,7.817614e-39,1e-45,7.4662065e-10,1.0620706e-06
0.9976908,3.3983276e-19,1.7339091e-19,3.7938217e-30,0.0,2.4976205e-26,1.0042694e-31,1.5028905e-38,1.1135185e-11,0.00230927
0.9999995,4.8462635e-16,1.24951786e-17,4.4934634e-23,8.3e-44,8.757719e-25,2.9698885e-28,1.407656e-39,2.7718508e-08,4.255391e-07
0.99999,2.0713324e-24,2.4342196e-24,1.1405755e-36,0.0,1.6290227e-32,7.155e-42,0.0,1.351227e-12,1.00717325e-05
0.9999999,6.698244e-27,7.0229632e-28,1.7179434e-34,0.0,1.0590784e-31,1.3393247e-34,1.7e-44,2.295648e-10,7.853614e-08
0.9999999,1.0791422e-33,3.3063957e-36,0.0,0.0,0.0,0.0,0.0,4.836013e-17,6.45688e-08
1.0,1.2347331e-35,6.6378823e-35,0.0,0.0,0.0,0.0,0.0,6.818991e-16,7.683612e-14
1.0,3.496595e-29,1.4741785e-35,1e-45,0.0,4.277e-42,0.0,0.0,6.2352806e-14,1.842853e-11
1.0,1.3597192e-29,1.0390038e-28,6.922444e-37,0.0,1.7016e-41,7e-44,0.0,6.745412e-16,3.0850845e-08
0.9999999,1.2731638e-29,9.515441e-27,3.065726e-39,0.0,1.3669262e-38,8.214e-42,0.0,4.072247e-09,7.480461e-08
1.0,1.4197086e-24,2.596298e-22,1.5281685e-27,0.0,5.2069415e-25,5.777271e-33,9.139675e-35,2.3422567e-10,6.3599264e-09
1.0,1.6013778e-28,8.127381e-28,1.3201365e-33,0.0,2.0321126e-30,2.67e-42,5.0178763e-37,4.268997e-13,6.927968e-10
1.0,7.0531075e-30,5.7111707e-30,8.90864e-40,0.0,1.3308e-40,7.2793e-41,0.0,9.108781e-17,2.872301e-10
1.0,2.8617733e-22,9.442785e-22,2.3594143e-23,0.0,3.229006e-19,4.8993493e-25,5.158478e-35,4.5727995e-09,1.4412959e-09
0.99999833,8.184933e-19,1.1872176e-18,3.9805764e-29,2.269447e-38,1.3532412e-25,3.376519e-29,1.6750342e-29,1.31796725e-08,1.6290735e-06
1.0,2.3821722e-35,1.2598698e-34,7.23085e-40,0.0,2.2483049e-38,0.0,0.0,1.0654573e-15,2.8622835e-09
0.9999999,1.5326606e-16,3.98401e-17,2.5247574e-27,0.0,7.634175e-22,3.3257167e-33,1.6879301e-36,1.4670556e-10,1.17734686e-07
1.0,3.2798455e-25,2.3756999e-29,2.4685453e-38,0.0,4.3286225e-35,0.0,0.0,2.520009e-16,7.328004e-11
0.9999999,2.0246435e-17,9.6381495e-20,1.167902e-29,0.0,6.3629347e-24,4.4662317e-35,1.03256e-40,1.6738538e-12,9.903991e-08
