label,score 4,score 9,score 3,score 6,score 7,f18
0.0,0.0,6.42698e-10,1.2378013e-38,1.5249999999999997e-40,0.0,1599.8035505775695
0.0,4.738999999999999e-42,2.2769705e-06,6.04029e-30,9.783269e-26,8.392697e-39,1532.015124053124
0.0,0.0,2.4857896e-09,4.922269999999999e-36,8.469067999999998e-39,3.5240999999999995e-41,1579.9389705072088
0.0,0.0,1.0620706e-06,1.7014599e-35,7.817614e-39,1e-45,1571.7084672530093
0.0,0.0,0.00230927,3.7938217e-30,1.0042694e-31,1.5028905e-38,1658.9285492913818
0.0,8.300000000000001e-44,4.255391e-07,4.4934634e-23,2.9698885e-28,1.407656e-39,1456.4486598550602
0.0,0.0,1.00717325e-05,1.1405755e-36,7.155e-42,0.0,1570.438715271376
0.0,0.0,7.853614e-08,1.7179433999999999e-34,1.3393246999999998e-34,1.6999999999999996e-44,1490.8907833791975
0.0,0.0,6.45688e-08,0.0,0.0,0.0,1575.2733483252975
0.0,0.0,7.683612000000002e-14,0.0,0.0,0.0,1686.0870236335227
0.0,0.0,1.842853e-11,1e-45,0.0,0.0,1698.195435703463
0.0,0.0,3.0850845e-08,6.922444e-37,7e-44,0.0,1561.0487777018914
0.0,0.0,7.480461e-08,3.0657259999999994e-39,8.213999999999997e-42,0.0,1653.921063519427
0.0,0.0,6.3599264e-09,1.5281685e-27,5.777270999999999e-33,9.139674999999999e-35,1798.0950957261844
0.0,0.0,6.927968e-10,1.3201365e-33,2.67e-42,5.0178763e-37,1557.4590614408442
0.0,0.0,2.872301e-10,8.90864e-40,7.2793e-41,0.0,1506.6577648988246
0.0,0.0,1.4412959e-09,2.3594142999999998e-23,4.899349299999999e-25,5.158477999999999e-35,1627.9587234180826
0.0,2.269447e-38,1.6290735e-06,3.9805764e-29,3.376519e-29,1.6750342e-29,1580.8765379663516
0.0,0.0,2.8622835e-09,7.23085e-40,0.0,0.0,1537.2728502295429
0.0,0.0,1.17734686e-07,2.5247574e-27,3.3257167e-33,1.6879300999999994e-36,1570.184915857951
0.0,0.0,7.328004e-11,2.4685453e-38,0.0,0.0,1510.3555455276926
0.0,0.0,9.903991e-08,1.167902e-29,4.4662317e-35,1.03256e-40,1715.7397815572879
0.0,0.0,7.923231e-12,8.0416735e-29,7.0354724e-32,6.007758999999998e-39,1743.4027107077047
0.0,0.0,2.3805335e-08,7.825726e-27,4.2840664e-30,5.91068e-36,1531.010763174241
0.0,0.0,1.493643e-08,3.301171e-33,4.5408336e-31,1.8824299999999995e-40,1545.7132397191147
0.0,0.0,7.992655400000002e-07,1.1325044e-36,1.3749999e-38,0.0,1588.9442903691306
0.0,0.0,5.0774865e-06,2.0040981999999997e-35,1.2605999999999992e-41,0.0,1560.196109051915
0.0,0.0,4.4128026e-12,0.0,0.0,0.0,1695.4691405412502
0.0,1.7699999999999996e-43,1.6664083e-08,3.4159656999999997e-25,1.8144679e-26,1.806761e-32,1693.9051628394107
0.0,0.0,1.3955025e-05,9.090412e-36,8.87e-43,0.0,1541.6444801847103
0.0,3.5059982e-33,1.441255e-07,5.47022e-25,2.1449637e-19,7.249890599999999e-29,1642.3801315237656
0.0,0.0,5.810625e-10,4.7634907e-32,6.1077775e-37,6.110526999999998e-37,1524.9213756463141
0.0,0.0,1.4031899e-09,3.6083567e-38,1.634e-42,1.599e-42,1497.0939637934155
0.0,0.0,3.614137e-11,0.0,0.0,0.0,1510.3199093362482
0.0,0.0,1.4495224e-09,1.4654941e-34,1.3163309999999998e-39,6.491e-42,1561.1333993425312
0.0,0.0,5.361859499999998e-13,0.0,0.0,0.0,1779.4424732715465
0.0,0.0,4.402572199999999e-07,1.8402300000000002e-40,0.0,0.0,1682.8149518180219
0.0,0.0,2.1719406e-12,1.8349005999999999e-31,1.71447e-40,0.0,1580.442461355089
0.0,0.0,2.488676e-07,1.3599999999999999e-43,0.0,0.0,1520.1879023511667
0.0,0.0,1.5427945e-08,1.2906439e-32,6.8832846e-38,0.0,1789.9103249251802
0.0,0.0,6.9604615e-09,2.6235e-41,2.073e-42,0.0,1778.3877897379255
0.0,0.0,4.097231e-10,2.4722526e-35,1.7092534999999997e-37,1.5679999999999995e-42,1498.4465015008136
0.0,0.0,3.0645767e-11,1.5569999999999997e-42,2.999999999999999e-45,0.0,1618.7673621221757
0.0,0.0,3.2064292999999996e-10,6.507572299999998e-38,2.934e-42,0.0,1596.8739508722995
0.0,0.0,3.888266e-08,8.1e-44,0.0,0.0,1529.9870818069917
0.0,0.0,2.7212924e-10,7.543107e-29,9.787999999999999e-42,5.999999999999998e-45,1516.6742024695382
0.0,0.0,2.158988e-12,3.5687442e-36,8.821364e-39,1e-45,1578.4967125791352
0.0,0.0,2.4878826e-08,4.6440899999999997e-29,6.656944999999998e-37,1.2022e-41,1646.2015761480404
0.0,0.0,2.1593949e-09,9.231489999999996e-40,0.0,0.0,1522.4027145167954
0.0,0.0,1.6517643e-12,2.0347924e-34,3.6000000000000004e-44,0.0,1551.4979054092566
0.0,0.0,1.0310894e-09,1.495e-42,0.0,0.0,1547.9287476854295
0.0,0.0,4.7861184e-11,5.434990999999998e-26,9.561168999999999e-29,1.4728549e-31,1540.8886306937106
0.0,0.0,2.1186047e-06,1.7801863e-32,2.5106982e-37,2.58e-43,1536.0378845494529
0.0,0.0,3.3138756e-11,8.877029999999996e-40,1.3000000000000002e-44,0.0,1844.130061034582
0.0,0.0,9.137112e-09,2.8565459999999998e-39,1.08616e-40,0.0,1887.984203849972
0.0,0.0,7.7233725e-10,1.6116176999999996e-36,5.222899999999999e-41,0.0,1567.5187787517352
0.0,0.0,6.2418409999999995e-09,2.249954e-29,1.4028462999999996e-33,3.56e-43,1583.7617634979777
0.0,0.0,3.9905037999999997e-10,9.04e-43,0.0,0.0,1535.5375305935233
0.0,0.0,3.76053e-08,1.8938463e-32,7.840216e-35,4.4853459999999986e-39,1561.2185855001794
0.0,0.0,2.5987712000000003e-10,0.0,0.0,0.0,1501.9843213570534
0.0,0.0,8.605418599999999e-10,3.9073635999999994e-35,3.0213420999999997e-38,0.0,1507.2023255779086
0.0,0.0,5.236721e-10,9.706999999999999e-42,0.0,0.0,1524.5404392338503
0.0,1.4199999999999993e-43,1.2723642e-12,4.0553834e-34,3.7532301999999998e-37,7.829e-42,1458.7607210605795
0.0,0.0,1.1211130000000002e-09,1.4353347e-35,8.409999999999998e-43,0.0,1516.9282759727246
0.0,2.7999999999999995e-44,5.192586e-07,4.3652903e-32,1.9403166999999998e-33,1.3020739e-36,1503.6582709771021
0.0,0.0,3.58712e-11,0.0,2.999999999999999e-45,0.0,1495.0165105652366
0.0,0.0,4.5169086e-06,2.3955332999999998e-32,9.790507999999999e-30,3.5920199999999987e-40,1573.864138405405
0.0,0.0,1.225141e-12,4.953943e-33,3.7605677999999996e-37,0.0,1549.3091398762078
0.0,2.6735993e-35,0.00016485876,9.11638e-26,1.0554147999999998e-25,6.080183e-28,1641.9192126286127
0.0,1.7366765e-26,1.988271e-07,7.311227299999999e-28,6.820132499999999e-24,2.760143e-28,1580.9028096989691
0.0,0.0,6.8914283e-06,6.238e-41,2.071133e-39,1.8751299999999997e-40,1459.437012737353
0.0,0.0,3.0458286e-12,2.0699999999999997e-43,0.0,0.0,1483.4389729234542
0.0,0.0,1.6595552e-08,1.4692570000000002e-39,1.768e-42,0.0,1570.639520809862
0.0,0.0,2.9881748e-13,6.999999999999999e-45,0.0,0.0,1543.7285109042925
0.0,0.0,8.2219e-09,1.7482544999999998e-35,1.5e-41,0.0,1527.9495712548542
0.0,0.0,9.0063935e-08,1.890252e-39,0.0,0.0,1564.3813070184685
0.0,0.0,9.4766244e-07,5.933489999999998e-29,6.2883274e-29,4.6518e-41,1596.9461996662042
0.0,0.0,1.5207403e-11,2.6499999999999998e-43,7.4e-44,0.0,1524.8646692438003
0.0,0.0,2.8446140999999998e-11,6.008348e-34,2.6742e-41,1.0816199999999999e-40,1634.4325032980935
0.0,0.0,1.6734718e-07,6.7706236e-31,1.157006e-39,1.7679987e-35,1513.852257805968
0.0,2.353431e-28,0.06501985,6.454029999999999e-29,4.5160936e-25,1.9042575999999998e-31,1635.7384820602829
0.0,0.0,1.0644275e-11,3.977105e-30,3.4466582e-35,0.0,1532.0140143863373
0.0,3.392999999999999e-41,3.263378e-10,8.804456999999997e-31,4.6966622999999995e-30,4.7254737e-36,1515.6718956598615
0.0,7.929933e-39,3.0291403e-06,1.432724e-16,1.0894377e-19,8.216666999999998e-36,1592.9083780134906
0.0,0.0,1.1548556e-13,0.0,0.0,0.0,1607.5852230333637
0.0,0.0,2.6320862e-07,9.804888e-32,1.1732842e-33,3.4586099999999988e-40,1686.3291636864747
0.0,0.0,1.9193282e-12,8.526323e-37,4.57e-43,0.0,1515.3176923062533
0.0,0.0,1.527437e-12,1.5497471e-29,2.4784471999999997e-35,4.35575e-40,1542.544064370062
0.0,0.0,7.243974e-10,3.1917366000000004e-36,7.3644e-41,0.0,1560.397899852744
0.0,4.3543059999999996e-24,5.585301e-05,6.8479965e-21,1.7211919999999993e-20,1.3894932e-22,1711.4849405900006
0.0,0.0,1.9976003e-06,1.4463208e-25,1.1233356000000001e-26,1.214228e-38,1518.2738375727404
0.0,0.0,1.3818136e-07,1.0817021e-32,1.8325086e-38,1.6699999999999993e-43,1493.5047473439054
0.0,0.0,3.8262024e-12,2.37845e-40,1.8513e-41,0.0,1623.4638240923762
0.0,0.0,1.4558708e-12,0.0,0.0,0.0,1688.3389557446662
0.0,0.0,7.830146000000001e-08,7.189199999999998e-41,0.0,0.0,1680.1030150393854
0.0,0.0,1.2717292e-11,9.903e-42,0.0,0.0,1508.0443923741989
0.0,4e-45,1.40692915e-08,2.2268725e-30,8.8039584e-30,3.370139599999999e-38,1611.303583654784
0.0,0.0,1.5647416000000004e-06,1.3880129999999992e-27,6.747725999999999e-36,2.21337e-37,1551.0276644828698
0.0,0.0,2.5090254e-09,1.4532879999999996e-38,1.2271782999999996e-34,1e-45,1483.3501191354505
0.0,0.0,3.1536747e-09,7.3632835e-37,3.6360799999999997e-40,0.0,1666.167916340368
0.0,0.0,2.7811252000000003e-06,3.4459309999999997e-32,1.5264801e-35,1.1278694e-33,1691.9699232885944
0.0,0.0,3.2988655000000003e-07,1.5791501999999999e-28,3.3593342e-36,7.9578e-40,1531.9332883951583
