label,score 4,score 9,score 3,score 6,score 7,f18,score 1,f16,score 5,score 0,f21,score 2
0.0,0.0,6.42698e-10,1.2378013e-38,1.5249999999999997e-40,0.0,1599.8035505775695,5.236719e-26,1180.0121517777775,9.070576999999999e-38,1.0,2.457505617031744,4.611697499999999e-28
0.0,4.738999999999999e-42,2.2769705e-06,6.04029e-30,9.783269e-26,8.392697e-39,1532.015124053124,2.3622471e-22,1117.8967648933217,4.4945045e-29,0.99999774,2.5655084060718667,6.845039000000001e-23
0.0,0.0,2.4857896e-09,4.922269999999999e-36,8.469067999999998e-39,3.5240999999999995e-41,1579.9389705072088,5.8287606999999994e-33,1165.250621428633,4.4812696e-34,1.0,2.4017338787295905,4.1172849999999996e-33
0.0,0.0,1.0620706e-06,1.7014599e-35,7.817614e-39,1e-45,1571.7084672530093,3.181392799999999e-26,1156.8589851499173,8.2745835e-30,0.9999989,2.4683353122365457,7.557775599999998e-25
0.0,0.0,0.00230927,3.7938217e-30,1.0042694e-31,1.5028905e-38,1658.9285492913818,3.3983276000000004e-19,1216.3075221263844,2.4976204999999998e-26,0.9976908,2.4353574461256486,1.7339091000000002e-19
0.0,8.300000000000001e-44,4.255391e-07,4.4934634e-23,2.9698885e-28,1.407656e-39,1456.4486598550602,4.8462635e-16,1050.123330594784,8.757719e-25,0.9999995,2.5903377813286808,1.2495178599999999e-17
0.0,0.0,1.00717325e-05,1.1405755e-36,7.155e-42,0.0,1570.438715271376,2.0713324e-24,1186.178802651889,1.6290226999999995e-32,0.99999,2.2320760164704287,2.4342196e-24
0.0,0.0,7.853614e-08,1.7179433999999999e-34,1.3393246999999998e-34,1.6999999999999996e-44,1490.8907833791975,6.698244e-27,1083.6441011484378,1.0590783999999998e-31,0.9999999,2.549301794901321,7.022963199999998e-28
0.0,0.0,6.45688e-08,0.0,0.0,0.0,1575.2733483252975,1.0791422e-33,1170.9744897630478,0.0,0.9999999,2.343363752042245,3.3063957000000004e-36
0.0,0.0,7.683612000000002e-14,0.0,0.0,0.0,1686.0870236335227,1.2347331e-35,1229.7857576441004,0.0,1.0,2.51409315367887,6.637882299999998e-35
0.0,0.0,1.842853e-11,1e-45,0.0,0.0,1698.195435703463,3.4965949999999996e-29,1241.345419773787,4.277e-42,1.0,2.519381720417224,1.4741785e-35
0.0,0.0,3.0850845e-08,6.922444e-37,7e-44,0.0,1561.0487777018914,1.3597192e-29,1174.956277584278,1.7015999999999995e-41,1.0,2.273499225454485,1.0390038e-28
0.0,0.0,7.480461e-08,3.0657259999999994e-39,8.213999999999997e-42,0.0,1653.921063519427,1.2731638e-29,1204.8414103534724,1.3669262e-38,0.9999999,2.4462660693050617,9.515441e-27
0.0,0.0,6.3599264e-09,1.5281685e-27,5.777270999999999e-33,9.139674999999999e-35,1798.0950957261844,1.4197086e-24,1308.9595376144894,5.2069415e-25,1.0,2.5799193319742217,2.596298e-22
0.0,0.0,6.927968e-10,1.3201365e-33,2.67e-42,5.0178763e-37,1557.4590614408442,1.6013777999999999e-28,1145.8864658510847,2.0321126e-30,1.0,2.349078245409085,8.127381e-28
0.0,0.0,2.872301e-10,8.90864e-40,7.2793e-41,0.0,1506.6577648988246,7.0531075e-30,1102.3311016589673,1.3308e-40,1.0,2.5010805965591443,5.7111707e-30
0.0,0.0,1.4412959e-09,2.3594142999999998e-23,4.899349299999999e-25,5.158477999999999e-35,1627.9587234180826,2.8617733e-22,1167.6394166647008,3.229006e-19,1.0,2.6180705337428987,9.442784999999999e-22
0.0,2.269447e-38,1.6290735e-06,3.9805764e-29,3.376519e-29,1.6750342e-29,1580.8765379663516,8.1849330000000015e-19,1160.108805333119,1.3532411999999998e-25,0.99999833,2.415991995567981,1.1872176e-18
0.0,0.0,2.8622835e-09,7.23085e-40,0.0,0.0,1537.2728502295429,2.3821722000000002e-35,1128.958699264409,2.2483049e-38,1.0,2.4905459470659306,1.2598698e-34
0.0,0.0,1.17734686e-07,2.5247574e-27,3.3257167e-33,1.6879300999999994e-36,1570.184915857951,1.5326606000000002e-16,1174.468496172307,7.634175000000001e-22,0.9999999,2.334347493330679,3.98401e-17
0.0,0.0,7.328004e-11,2.4685453e-38,0.0,0.0,1510.3555455276926,3.2798454999999996e-25,1116.7837178857026,4.328622499999999e-35,1.0,2.4320868993438722,2.3756999e-29
0.0,0.0,9.903991e-08,1.167902e-29,4.4662317e-35,1.03256e-40,1715.7397815572879,2.0246435e-17,1260.804784901019,6.362934700000001e-24,0.9999999,2.4497622893412165,9.6381495e-20
0.0,0.0,7.923231e-12,8.0416735e-29,7.0354724e-32,6.007758999999998e-39,1743.4027107077047,1.00936036e-20,1267.0168167455533,2.9688025e-28,1.0,2.4877877543397746,9.721212e-24
0.0,0.0,2.3805335e-08,7.825726e-27,4.2840664e-30,5.91068e-36,1531.010763174241,2.0245896e-17,1126.9927481418508,3.3120085e-24,1.0,2.4091053128073883,2.5122977e-19
0.0,0.0,1.493643e-08,3.301171e-33,4.5408336e-31,1.8824299999999995e-40,1545.7132397191147,6.0706304e-31,1152.1188829459898,2.8732194999999995e-34,1.0,2.3500925452317967,1.2449432999999996e-29
0.0,0.0,7.992655400000002e-07,1.1325044e-36,1.3749999e-38,0.0,1588.9442903691306,3.5874137000000004e-21,1193.924612811046,7.060778999999999e-36,0.99999917,2.2549503070998043,1.7293277e-22
0.0,0.0,5.0774865e-06,2.0040981999999997e-35,1.2605999999999992e-41,0.0,1560.196109051915,9.935026999999999e-27,1131.6903537286307,3.942295999999999e-31,0.9999949,2.5451129907843737,1.2393764999999998e-25
0.0,0.0,4.4128026e-12,0.0,0.0,0.0,1695.4691405412502,4.5859956e-36,1218.6693597989633,0.0,1.0,2.5477373026589034,4.8014639999999995e-36
0.0,1.7699999999999996e-43,1.6664083e-08,3.4159656999999997e-25,1.8144679e-26,1.806761e-32,1693.9051628394107,3.6806586e-16,1223.699190618635,3.9424797e-23,0.9999993,2.5597156229146023,1.7419385e-17
0.0,0.0,1.3955025e-05,9.090412e-36,8.87e-43,0.0,1541.6444801847103,6.3369995e-32,1142.7797829132462,1.6781131e-32,0.99998605,2.40627062640965,8.835866e-30
0.0,3.5059982e-33,1.441255e-07,5.47022e-25,2.1449637e-19,7.249890599999999e-29,1642.3801315237656,7.9452365e-12,1198.039658252162,1.63398e-22,0.9999945,2.4554267117132538,2.966283000000001e-14
0.0,0.0,5.810625e-10,4.7634907e-32,6.1077775e-37,6.110526999999998e-37,1524.9213756463141,7.281815999999999e-26,1145.3804714028854,2.2432893e-34,1.0,2.342383272572148,4.6274541999999994e-27
0.0,0.0,1.4031899e-09,3.6083567e-38,1.634e-42,1.599e-42,1497.0939637934155,1.1902066e-35,1098.195200925883,3.8106687e-34,1.0,2.4352709702980264,2.6638587e-35
0.0,0.0,3.614137e-11,0.0,0.0,0.0,1510.3199093362482,2.9843494e-34,1106.4322066006607,2.34297e-40,1.0,2.4623172932416737,4.8757577e-35
0.0,0.0,1.4495224e-09,1.4654941e-34,1.3163309999999998e-39,6.491e-42,1561.1333993425312,9.4081985e-29,1165.5922949136725,1.7317421e-33,1.0,2.3435482452685887,6.1306577999999985e-28
0.0,0.0,5.361859499999998e-13,0.0,0.0,0.0,1779.4424732715465,2.9442364e-37,1283.4326055638835,0.0,1.0,2.5959605910868624,3.3199555999999996e-37
0.0,0.0,4.402572199999999e-07,1.8402300000000002e-40,0.0,0.0,1682.8149518180219,4.8235011999999996e-32,1225.10638164319,3.4770112999999994e-38,0.9999995,2.5726876347692995,2.1579790999999997e-30
0.0,0.0,2.1719406e-12,1.8349005999999999e-31,1.71447e-40,0.0,1580.442461355089,1.7204966e-17,1165.3268007538402,2.6096313000000003e-31,1.0,2.4345440330521453,3.3220638e-19
0.0,0.0,2.488676e-07,1.3599999999999999e-43,0.0,0.0,1520.1879023511667,4.979667999999999e-27,1119.121184794471,1.5407403e-36,0.99999976,2.469618304000185,6.3992147e-28
0.0,0.0,1.5427945e-08,1.2906439e-32,6.8832846e-38,0.0,1789.9103249251802,7.466251e-19,1311.3351490955056,9.223232e-30,1.0,2.4532682285333016,6.3099883e-20
0.0,0.0,6.9604615e-09,2.6235e-41,2.073e-42,0.0,1778.3877897379255,1.5412978499999999e-30,1288.970444179962,7.702e-42,1.0,2.6381402864061982,1.4837726999999999e-31
0.0,0.0,4.097231e-10,2.4722526e-35,1.7092534999999997e-37,1.5679999999999995e-42,1498.4465015008136,6.4036393e-27,1107.3173728591319,4.0444413e-36,1.0,2.3840160084999686,4.226345e-30
